[0.00 -> 2.06]  you
[512.42 -> 514.42]  In the name of Allah, the Most Gracious, the Most Merciful.
[514.42 -> 516.42]  All praise belongs to Allah, the Lord of all the worlds.
[516.42 -> 518.42]  I pray and salute the Master of the first and the last,
[518.42 -> 520.42]  our Master, our Lord, our Beloved,
[520.42 -> 522.42]  our intercessor, and the apple of our eyes,
[522.42 -> 524.42]  Muhammad, the Prophet, the Mother of the Faithful,
[524.42 -> 526.42]  peace and blessings of Allah be upon him and his family,
[526.42 -> 528.42]  the good, the pure.
[528.42 -> 530.42]  And whoever calls upon his call,
[530.42 -> 532.42]  wait for his Sunnah,
[532.42 -> 534.42]  and his influence will be fulfilled until the Day of Recompense.
[534.42 -> 536.42]  O Lord, explain to my heart and my heart
[536.42 -> 538.42]  my command and my tongue,
[538.42 -> 542.42]  Subhanaka la'ilma lana illa ma'anlamtana innaka anta al-alimu al-hakim.
[542.42 -> 545.42]  Rabbi a'udhu bika min hamazati ash-shayatin.
[545.42 -> 547.42]  Wa a'udhu bika rabbi an yahdurun.
[547.42 -> 550.42]  Tabarra'tu min hawli wa quwati wa a'tasamtu bi hawli Allahi wa quwati.
[550.42 -> 553.42]  Fala hawla wa la quwata illa billahi al-alim al-adhim.
[553.42 -> 556.42]  Ya Allah, Ya alim, Ya Hakim, Ya Rasheed.
[556.42 -> 560.42]  Assalamu alaikum wa rahmatullahi wa barakatuh.
[560.42 -> 575.76]  Rasulullah sallallahu alayhi wa sallam once saw a man stood in the sun and he asked who
[575.76 -> 579.72]  is that and they said that is so and so.
[579.72 -> 587.18]  He has pledged, he has made a nazr, a pledge to Allah sallallahu alayhi wa sallam that
[587.18 -> 594.50]  He asked Allah for something and he said, Allah if you give this to me, I will stand
[594.50 -> 608.78]  and I won't sit and I will not seek shade and I will fast and not eat and I won't talk
[608.78 -> 610.30]  to anyone.
[610.30 -> 621.12]  So the Rasul ﷺ he said, tell him, tell him to sit down and to seek shade and to speak
[621.12 -> 624.40]  and to continue his fast.
[624.40 -> 631.60]  This same companion performed Hajj with the Rasul ﷺ and he was being supported by his
[631.60 -> 634.16]  two sons.
[634.16 -> 637.60]  So the Rasul Sallallahu Alaihi Wasallam, he said,
[637.60 -> 640.16]  command him, tell him, I have said,
[640.16 -> 642.84]  Rasulullah Sallallahu Alaihi Wasallam has said,
[642.84 -> 645.32]  seek a mount, meaning ride,
[645.32 -> 649.04]  get on a donkey, a mule, a camel, whatever.
[650.08 -> 652.76]  Because Allah doesn't need him to torture himself.
[652.76 -> 655.12]  Allah doesn't need him to punish himself.
[655.12 -> 660.12]  So I open with these two events from the Seerah
[660.12 -> 669.48]  are to remind the brothers who are to remind myself not to impose hardship on anybody and
[669.48 -> 674.00]  those who are not accustomed to sitting down on the floor as most of us are not then they
[674.00 -> 680.44]  can take a chair sit somewhere that is not blocking the path because the objective is
[680.44 -> 688.96]  that we pay is that our attention is not diverted is and that we are not concerned about all
[688.96 -> 696.48]  my knee aches, my hip aches, my ankles hurt, so if you really do need to sit down then take
[696.48 -> 701.68]  on a chair then please take a chair and sit down because we want the minds and the hearts to be
[701.68 -> 709.52]  occupied with the content what is being said rather than pains and aches. Of course the
[709.52 -> 716.40]  sunnah is that you do start in the position of tashahud, how we end the salah, to sit down in
[716.40 -> 722.16]  such a manner and then afterwards if that is not a comfortable position to remain in to move from
[722.16 -> 728.40]  there to fold your legs to cross your leg story or to sit on a chair whichever is suitable for you
[731.04 -> 733.68]  now rasulullah sallallahu alaihi wasallam
[736.64 -> 738.16]  allahu subhanahu wa ta'ala
[738.16 -> 744.56]  And commissioned him with a mission.
[744.56 -> 750.72]  And that mission was to spread peace wherever he went.
[750.72 -> 756.84]  To be a source of peace everywhere he is, sallallahu alayhi wa sallam.
[756.84 -> 762.00]  Yes, not everybody can become Muslim.
[762.00 -> 767.12]  And that wasn't the mission of the Prophet, sallallahu alayhi wa sallam, to convert everybody.
[767.12 -> 773.64]  But rather his mission was to facilitate peace for people and ease for people.
[773.64 -> 778.48]  And so there were Jewish people living in Madinah, large population.
[778.48 -> 782.64]  There were Christians also living in the Arabian Peninsula and the Rasul Sallallahu
[782.64 -> 790.46]  Alaihi Wasallam, what was revealed to him is that he must create and facilitate and
[790.46 -> 795.76]  to be an agent of peace according to his means.
[795.76 -> 804.60]  So if he was in a position of power and authority to facilitate peace for people through power,
[804.60 -> 816.28]  through authority, and if he was in a position to speak and that's it, to convey and to communicate,
[816.28 -> 825.64]  to use that power of speech to call for peace, to encourage people to create peace.
[825.64 -> 832.08]  And if he is not in that position, that he teach the companions that they reject anything
[832.08 -> 838.38]  that goes against the command of Allah, anything that goes against the interests of humanity.
[838.38 -> 844.92]  And so that peace is extended to Muslims, non-Muslims, plants, animals, mountains, everything
[844.92 -> 846.80]  in the entire world.
[846.80 -> 849.90]  Not just the world, but even to space.
[849.90 -> 853.66]  Wherever we go, we have to maintain peace there.
[853.66 -> 859.10]  is peaceful before we got there and we mentioned this last week that why isn't
[859.10 -> 865.02]  why is there no chaos in the heavens why because there's no free will over there
[865.02 -> 871.46]  so everybody does as they say but why is there chaos here because of the free
[871.46 -> 877.22]  will that we've been given when we spoke last week about this this topic and so
[877.22 -> 883.58]  one has to use their means their what is within their control what is within
[883.58 -> 887.36]  in their capacity to facilitate for this.
[887.36 -> 891.48]  Not peace for Muslims only, but peace for everybody.
[892.60 -> 894.60]  Peace for everybody.
[894.60 -> 898.00]  And that is why we are not concerned only about
[899.20 -> 902.84]  the thousands of Palestinians who have died.
[902.84 -> 904.52]  And really one should not be concerned
[904.52 -> 907.50]  because they have succeeded and they have, they've won.
[908.68 -> 911.48]  They've won in the sight of Allah subhanahu wa ta'ala
[911.48 -> 921.48]  As the Rasul Sallallahu Alaihi Wasallam, he said that the martyr feels no pain more than the prick of a thorn or a pinch.
[921.48 -> 932.48]  That's it. So the scenes that we see, they are for us to develop a rejection of evil,
[932.48 -> 943.48]  a rejection of anything that is against the command of Allah SWT, right?
[943.48 -> 946.48]  Not for us to become desensitized to.
[946.48 -> 950.48]  Because if you become desensitized, it means that you no longer deplore evil.
[950.48 -> 952.48]  You're indifferent.
[952.48 -> 957.48]  So it's better that you only look enough, you watch what is enough to have that effect.
[957.48 -> 964.68]  effect. If you see that that effect is starting to wane then look away. It's
[964.68 -> 972.72]  better for you to look away in that case. Now the Rasul sallallahu alayhi wa
[972.72 -> 979.44]  sallam said in a hadith reported by Imam Bukhari that Allah
[979.44 -> 990.00]  Subhanahu wa ta'ala, he has more mercy upon his servant than a mother has upon her baby.
[990.00 -> 997.58]  Now the mercy of every mother in the world combined and not just every human mother but
[997.58 -> 1004.64]  every single type of mother doesn't even equal a billionth, a trillionth, a zillionth of
[1004.64 -> 1008.34]  Allah subhanahu wa ta'ala's mercy.
[1008.34 -> 1013.22]  And so if we think deeply about a mother's compassion to her baby, and her mercy and
[1013.22 -> 1018.56]  love that she has for her child, she hasn't brought it upon herself.
[1018.56 -> 1025.58]  She did not create it, but it was Allah subhanahu wa ta'ala who instilled that mercy in her.
[1025.58 -> 1030.86]  It's as though the mother is programmed to have that love and that compassion for her
[1030.86 -> 1032.58]  child.
[1032.58 -> 1036.46]  So that mercy and that compassion, who does it go back to?
[1036.46 -> 1040.06]  it goes back to Allah subhanahu wa ta'ala.
[1040.06 -> 1043.22]  A mother's love is a reflection of,
[1043.22 -> 1048.06]  or a mother's mercy is a reflection of Allah's mercy.
[1048.06 -> 1050.54]  It's a reflection of one small ray
[1050.54 -> 1054.34]  of Allah subhanahu wa ta'ala's mercy that he has.
[1054.34 -> 1055.94]  Whether Muslim or non-Muslim,
[1055.94 -> 1058.72]  whether it's animal, whether, whatever.
[1058.72 -> 1061.14]  Wherever there is compassion,
[1061.14 -> 1063.62]  it is from Allah subhanahu wa ta'ala.
[1063.62 -> 1068.48]  So the real credit goes back to Allah Jalla Jalaluhu.
[1068.48 -> 1070.76]  All the mercy that we see on earth,
[1070.76 -> 1075.76]  observed by parents, observed by people who are charitable,
[1076.16 -> 1081.16]  people who are kind, people who are compassionate,
[1082.56 -> 1086.64]  that the credit goes back to Allah Subhanahu wa ta'ala.
[1087.52 -> 1091.08]  Because, and Allah Subhanahu wa ta'ala
[1091.08 -> 1093.68]  has commanded us to be grateful.
[1093.68 -> 1096.96]  Why, why do we have to be grateful to the means?
[1096.96 -> 1098.80]  Because they are the instruments
[1098.80 -> 1101.44]  through which Allah Subh'anaHu Wa Ta-A'la
[1101.44 -> 1105.38]  distributes His mercy among the creation.
[1105.38 -> 1109.52]  So for example, Angel Jibreel Alayhi Salaam,
[1109.52 -> 1112.96]  he occupies the highest station, why?
[1112.96 -> 1116.64]  Why and why are we commanded to love him?
[1116.64 -> 1120.40]  Jibreel and Mikael, as Allah Subh'anaHu Wa Ta-A'la,
[1120.40 -> 1125.92]  He made them the, Allah SWT mentions them explicitly, why?
[1125.92 -> 1130.52]  Because Bani Isra'il used to favor, they used to favor Mika'il over Jibreel.
[1130.52 -> 1141.68]  So Allah SWT said no, even though Jibreel is my favored and my selected angel from among
[1141.68 -> 1144.60]  all the angels, you have to love all of the angels.
[1144.60 -> 1151.48]  You have to love them and respect them and adore them, yes, and exalt them, why?
[1151.48 -> 1156.56]  Because they, like Jibril, Jibril is the means through which revelation came.
[1156.56 -> 1165.68]  The messengers themselves, the rusul, yes, the message is not theirs.
[1165.68 -> 1168.28]  The message is not theirs, is it?
[1168.28 -> 1171.04]  They're messengers, they're rusul.
[1171.04 -> 1176.00]  The message has come from Allah subhanahu wa ta'ala, they are message bearers.
[1176.00 -> 1179.64]  And because they are the instrument through which Allah subhanahu wa ta'ala has communicated
[1179.64 -> 1185.04]  to His creation, we love and we honour them.
[1185.04 -> 1192.68]  Likewise, our parents, because they are the means, the instrument for our existence.
[1192.68 -> 1197.80]  But in actual fact, it is Allah subhanahu wa ta'ala, He is the source of the mercy,
[1197.80 -> 1199.80]  He is the source of the compassion.
[1199.80 -> 1203.08]  He is the source of that love.
[1203.08 -> 1205.52]  So don't look at things that face value.
[1205.52 -> 1209.04]  Like for example, if you withdraw money from the bank.
[1209.04 -> 1212.16]  If you withdraw money from the bank.
[1212.16 -> 1215.88]  What it looks like is the bank has given you that money.
[1215.88 -> 1219.02]  The bank has given you that money.
[1219.02 -> 1222.30]  So yes, you can thank them for their services, yes.
[1222.30 -> 1227.48]  And this is the proper adab, the proper akhlaq, proper manners, is that you thank the means
[1227.48 -> 1235.54]  But really, you should thank the one, the source of that fund, the one who has transferred
[1235.54 -> 1239.14]  that money into your account.
[1239.14 -> 1242.22]  Because the bank is actually benefiting.
[1242.22 -> 1247.02]  Why would you even, why would you stop at thanking that the bank benefits?
[1247.02 -> 1250.90]  So the mother, the father, they're also benefiting too.
[1250.90 -> 1254.68]  Because if they discharge of their duty, Allah subhanahu wa ta'ala rewards them.
[1254.68 -> 1258.20]  So they benefit.
[1258.20 -> 1266.64]  But the one who actually that mercy is from, that kindness is from, that compassion is
[1266.64 -> 1272.40]  from, who placed that mercy and facilitated for it to reach you is the one who's truly
[1272.40 -> 1274.44]  deserving of praise.
[1274.44 -> 1278.32]  But unfortunately we forget the source.
[1278.32 -> 1283.40]  So a postman delivers you flowers and then you shake the postman's hand and you thank
[1283.40 -> 1288.76]  them when rather you should think who sent me those flowers my mother my
[1288.76 -> 1295.76]  father my father my husband my my friend right on my special day so where should
[1295.76 -> 1303.12]  the credit actually go so the flowers of blessings that we receive in this world
[1303.12 -> 1311.60]  the creation are a delivery mechanism for Allah as we said they are the
[1311.60 -> 1316.60]  instruments through which Allah has distributed his mercy, distributed his
[1316.60 -> 1321.76]  blessings. But who's the sender? It's Allah subhanahu wa ta'ala. Who's the
[1321.76 -> 1328.26]  Rabb, jalla jalaluhu? Who's the cherisher? Allah subhanahu wa ta'ala. Sometimes we
[1328.26 -> 1332.76]  don't even think to thank the means, like the parents, our parents who brought us
[1332.76 -> 1338.72]  into existence. That's why Allah subhanahu wa ta'ala said, an ishkur li wali walidahi.
[1338.72 -> 1345.92]  yes when you early take a loss on time he said thank me and thank your parents
[1345.92 -> 1356.96]  and thank your parents but we should know this reality that the actual source
[1356.96 -> 1365.36]  of all goodness of all mercy is Allah subhanahu ta'ala so I want us all time
[1365.36 -> 1371.60]  because this is just an introduction for us to understand this point that we want to convey
[1371.60 -> 1376.72]  today in continuation of the topic that we started last week which is transforming
[1377.92 -> 1381.44]  transforming tragedy into blessing last week what did we speak about
[1382.16 -> 1384.16]  i'm not going to say what did we speak about last week
[1386.96 -> 1389.68]  okay you and in you and in the rest of you
[1389.68 -> 1403.96]  Nor were you in either. So what did we speak about last week? Who remembers? Just snippets, anything.
[1403.96 -> 1417.44]  That was the last point I made to set up this week's talk, but I want to know what we spoke
[1417.44 -> 1423.36]  about last week yes we spoke about free will we spoke about the nature of this
[1423.36 -> 1431.36]  life of this dunya this is the plane of test this is the world of trials we
[1431.36 -> 1436.28]  didn't say why we're tried why we're tested we just spoke about the nature of
[1436.28 -> 1442.24]  this world this is not this world is not the world of reward of absolute reward
[1442.24 -> 1446.56]  there is reward but not absolute this world and this life is not the life of
[1446.56 -> 1448.46]  of punishment, absolute punishment.
[1448.46 -> 1449.96]  But there is punishment.
[1449.96 -> 1451.12]  And why is there a reward?
[1451.12 -> 1453.16]  And why is there punishment that we see?
[1453.16 -> 1454.00]  Yes?
[1454.00 -> 1454.92]  La'allahum yarji'oon.
[1454.92 -> 1457.72]  So that people can return, go back to Allah,
[1457.72 -> 1459.48]  that you see the result of good,
[1459.48 -> 1464.12]  you say, I want to do that because I want to,
[1464.12 -> 1465.16]  I want to benefit.
[1465.16 -> 1468.00]  You see the consequences of evil,
[1468.00 -> 1470.28]  and you say, I'll stay away from that because,
[1470.28 -> 1471.88]  so you return to Allah.
[1471.88 -> 1474.40]  And the evil is not from Allah, the evil is from us.
[1474.40 -> 1477.96]  We have misused the good that Allah has given us, right?
[1477.96 -> 1484.96]  And you can revisit the recording, insha'Allah, to go over it again.
[1484.96 -> 1488.96]  So we spoke about this world being a world of trials,
[1488.96 -> 1491.64]  but we didn't speak about why we're tried.
[1491.64 -> 1497.84]  Today we're going to focus on one aspect of why we're tested.
[1497.84 -> 1499.60]  There are a number of reasons why we're tested,
[1499.60 -> 1503.04]  but we're going to speak about one aspect only today,
[1503.04 -> 1514.24]  why we're tested. So we started by reminding ourselves to attribute mercy and compassion
[1514.24 -> 1523.12]  and blessings to who? Attribute them to who? To Allah Azza wa Jalla. And that the human
[1523.12 -> 1530.88]  beings and the mercy that we exercise, we do so as what? In what capacity? As means,
[1530.88 -> 1538.00]  as instruments, yes? We're not the source. The source is Allah subhanahu wa ta'ala, yes?
[1538.00 -> 1546.32]  So I want you to understand this point that I'm to convey and that is that when a musibah,
[1546.32 -> 1552.40]  when a calamity, when an affliction strikes, be it illness, be it problems, difficulties come
[1552.40 -> 1555.26]  come to the believer, why?
[1556.80 -> 1561.80]  These are a form of forced mercy from Allah subhanahu wa ta'ala.
[1564.26 -> 1567.60]  Maybe we've never heard that before, forced mercy.
[1567.60 -> 1569.80]  It almost sounds like an oxymoron.
[1569.80 -> 1571.80]  How can mercy be forced?
[1571.80 -> 1573.66]  Isn't that unmerciful?
[1575.54 -> 1580.54]  So you see how when we sin, right?
[1580.54 -> 1586.86]  We're reminded, do tawbah, repent, do istighfar, seek forgiveness from Allah.
[1586.86 -> 1594.54]  Yes, that's for everyone, that's good, and that's for everybody, but some people from
[1594.54 -> 1602.10]  Allah's compassion and from Allah's mercy, Allah subhanahu wa ta'ala forces their sins
[1602.10 -> 1603.42]  to be forgiven.
[1603.42 -> 1604.42]  Why?
[1604.42 -> 1608.94]  Because they're not asking for their sins to be forgiven, they're not even considering
[1608.94 -> 1613.70]  I commit the sin. I should seek forgiveness and Allah subhanahu wa ta'ala
[1614.98 -> 1617.06]  Allah subhanahu wa ta'ala wants to forgive them
[1617.66 -> 1621.42]  So he forces that mercy upon them. How?
[1622.06 -> 1627.34]  Well, Allah subhanahu wa ta'ala, the Rasul salallahu alaihi wa sallam mentioned that Allah subhanahu wa ta'ala when he loves his servant
[1627.46 -> 1634.38]  He wants a high degree. He wants a high status for his servant. What does he do? He puts him through a trial
[1634.38 -> 1650.38]  Why? Because Allah sees that his deeds, his good deeds, his actions, his worship, his dhikr, fasting, all of that is not going to raise him or her to that station that Allah wants.
[1650.38 -> 1658.38]  So what does Allah do? Allah tries that servant, tests that servant through a musibah, through an affliction,
[1658.38 -> 1663.82]  problems or illness or problems with family, problems with friends, problems
[1663.82 -> 1670.82]  with neighbors, problems at work, poverty, any form of hardship. Why? Until that
[1670.82 -> 1676.38]  person reaches that station, is elevated to that station that Allah
[1676.38 -> 1682.82]  subhanahu wa ta'ala wants for him. We see in this dunya, for example, we have mothers
[1682.82 -> 1687.18]  here, mashaAllah. What happens when the baby doesn't want to eat? What happens
[1687.18 -> 1689.22]  when your child doesn't want to eat?
[1689.22 -> 1691.66]  The mother will force feed them.
[1691.66 -> 1693.38]  Is that an act of evil?
[1693.38 -> 1695.22]  That's an act of mercy.
[1695.22 -> 1697.82]  The baby might scream, the child might scream,
[1698.80 -> 1701.06]  but what does the mother intend?
[1701.06 -> 1703.64]  She only intends good for her child.
[1704.94 -> 1706.70]  For example, children today,
[1706.70 -> 1709.26]  or they don't want to go to school, they just want to play.
[1709.26 -> 1710.70]  They want to put on Netflix,
[1710.70 -> 1712.70]  and they want to put on Amazon Prime,
[1712.70 -> 1714.14]  and they want to put on whatever,
[1714.14 -> 1716.06]  and they want to watch cartoons,
[1716.06 -> 1720.06]  And they just want to play, just want to roam around and play.
[1720.06 -> 1724.26]  But then parents have to force their children to go to school.
[1724.26 -> 1726.82]  And if parents don't force their children to go to school,
[1726.82 -> 1733.06]  then the government forces the parents to force their children to go to school.
[1733.06 -> 1740.14]  And so that is for that child to have a good life afterwards,
[1740.14 -> 1744.50]  get an education, get experience, and then have a good life afterwards.
[1744.50 -> 1748.30]  But if you say, don't force them, that's not merciful.
[1748.30 -> 1750.26]  You're pulling them out of bed in the morning.
[1750.26 -> 1752.22]  You're dressing, you're changing them.
[1752.22 -> 1754.06]  You're brushing their teeth and washing their face
[1754.06 -> 1756.10]  and they're screaming and say, have mercy,
[1756.10 -> 1759.50]  just let him play, just let her play.
[1759.50 -> 1763.58]  When they get to their 20s and their 30s, they'll curse you.
[1763.58 -> 1765.82]  Why didn't my parents put me into school?
[1765.82 -> 1767.34]  Why didn't the government do something
[1767.34 -> 1771.22]  to intervene for my own sake?
[1771.22 -> 1780.22]  So there are more examples there of forced mercy. It's in our interest.
[1780.22 -> 1788.22]  Who else can give me an example of, or who can give me another example of forced mercy?
[1788.22 -> 1792.22]  Yes. That's contentious.
[1792.22 -> 1797.22]  We'll move on to the one way. One way there's no difference of opinion.
[1797.22 -> 1808.14]  mind you there's no difference of opinion yes so for example you see the
[1808.14 -> 1811.46]  scenes in like you know movies and cartoons or whatever when a child goes
[1811.46 -> 1816.50]  to the dentist and all they hear is and child screaming inside right and they're
[1816.50 -> 1821.06]  petrified they think it's a torture chamber but what's happening in there
[1821.06 -> 1828.78]  that child has a rotten tooth if that tooth stays in there then the child will
[1828.78 -> 1835.26]  get an infection and then if that infection is left untreated the child
[1835.26 -> 1842.30]  will have sepsis and then if the blood is poisoned that's it if it's not
[1842.30 -> 1847.00]  treated with antibiotics in that in the first few days that's it after three
[1847.00 -> 1852.16]  four days of sepsis person and one and one of the common causes of death in the
[1852.16 -> 1858.04]  UK is sepsis so when that child has his tooth and let's say it's an emergency we
[1858.04 -> 1862.80]  don't have time there's no anesthetist okay there's nobody here to to put some
[1862.80 -> 1870.92]  anesthetic there we just have to take it out old school no painkiller so is that
[1870.92 -> 1877.76]  torture is that evil but that's mercy that's mercy one of our brothers over
[1877.76 -> 1887.44]  here I know that their mother had a knee transplant that's a brutal operation
[1887.44 -> 1894.80]  brutal I couldn't watch the video of it the video let alone undergoing that
[1894.80 -> 1902.02]  surgery if anybody saw that they would say this is butchery this is evil you're
[1902.02 -> 1906.14]  chopping people up breaking their bones and sawing their bones but for what for
[1906.14 -> 1911.58]  them to be able to walk around pain-free afterwards and afterwards you shake the
[1911.58 -> 1915.42]  surgeon's hand thank you so much thank you so much why because you you know
[1915.42 -> 1923.74]  the reality you know the reality and not many other examples as well many many
[1923.74 -> 1927.98]  other examples take take for example if somebody is crossing the road they have
[1927.98 -> 1932.06]  their headphones on and you say to them watch it watch it they're crossing the
[1932.06 -> 1935.10]  road and they're not looking and you call out and you scream and they're not
[1935.10 -> 1940.18]  listening but what you do is you pull them last second you yank them from
[1940.18 -> 1945.18]  their collar you've cut their neck their skin and they turn around how dare you
[1945.18 -> 1948.70]  do that anybody looking just at that scene thinks that what you have done is
[1948.70 -> 1952.46]  an evil act you've just tortured that person but all you've done is you've
[1952.46 -> 1960.98]  save that person's life. So when you understand it from this dimension you
[1960.98 -> 1966.74]  become thankful rather than complaining. Yes illness comes that Rasul
[1966.74 -> 1969.94]  sallallahu alaihi wa sallam he taught us what to do with illness. If you have
[1969.94 -> 1976.06]  illness, if you have a medical condition what do you do? You seek medicine. He
[1976.06 -> 1978.76]  He said, tadaawaw ibadallah.
[1978.76 -> 1982.00]  Seek medication, O servants of Allah,
[1982.00 -> 1984.80]  for Allah did not create an ailment, a disease,
[1984.80 -> 1988.16]  except that he created its cure.
[1988.16 -> 1989.72]  So seek the cure.
[1989.72 -> 1992.32]  Tadaawaw means seek the cure.
[1993.20 -> 1998.28]  So keep looking and keep investigating
[1998.28 -> 2001.68]  and keep testing until you find the cure.
[2002.58 -> 2004.24]  It's not just you use the cure.
[2004.24 -> 2008.32]  Well, seek, find, discover the cure.
[2008.32 -> 2010.64]  So that's the sunnah, discover the cure.
[2010.64 -> 2012.00]  And obviously any other problem,
[2012.00 -> 2017.00]  you go and you look for the appropriate measures
[2021.04 -> 2022.88]  to alleviate that hardship.
[2024.20 -> 2029.20]  Most importantly, the heart should be at rest.
[2031.80 -> 2034.12]  The heart should be at rest.
[2034.12 -> 2041.40]  The heart should be in a state of thankfulness, of shukr, and not of shakwa.
[2041.40 -> 2045.12]  Shakwa is complaint, it's complaint.
[2045.12 -> 2053.28]  When you complain about your state, your affair, why me, it's not fair, why at this time, couldn't
[2053.28 -> 2056.24]  it wait until I was older, that's complaint.
[2056.24 -> 2058.40]  But to say aw, that's not complaining.
[2058.40 -> 2064.76]  Yes, Rasulullah sallallahu alaihi wa sallam, he said ah, which is ow, right?
[2064.76 -> 2070.80]  So you know if there's pain, that's fine, that's not a complaint, but complaint is that
[2070.80 -> 2071.80]  you object.
[2071.80 -> 2074.12]  So it's not fair, why me?
[2074.12 -> 2075.60]  Why did it happen to me?
[2075.60 -> 2076.60]  This isn't right.
[2076.60 -> 2079.40]  Rather a person should be grateful.
[2079.40 -> 2086.00]  When you look beyond just that, you need to broaden your perspective.
[2086.00 -> 2090.92]  So if Allah subhanahu wa ta'ala he wants to forgive a person and that person isn't asking
[2090.92 -> 2098.20]  for forgiveness, Allah subhanahu wa ta'ala, Allah subhanahu wa ta'ala he afflicts that
[2098.20 -> 2100.96]  person with a hardship.
[2100.96 -> 2111.60]  Now you may say well the prophets they were afflicted also with calamities with hardship,
[2111.60 -> 2112.70]  why?
[2112.70 -> 2115.88]  So the Rasul sallallahu alayhi wa sallam he said,
[2115.88 -> 2119.20]  أَشَدُّ النَّاسِ بَلَاءً أَلَمْبِهَا
[2119.20 -> 2125.96]  Those, the people who receive the most harsh, the most severe trials are the Prophets.
[2125.96 -> 2130.78]  Then those who follow them, then those who follow them, meaning in degree and in rank.
[2130.78 -> 2136.14]  So who can say why the Prophets then are tested?
[2136.14 -> 2139.44]  Because remember, Prophets are infallible, they don't sin.
[2139.44 -> 2142.96]  So why would they be tested?
[2142.96 -> 2145.68]  We'll start with the sisters.
[2145.68 -> 2151.12]  Why do you think the Prophets are tested?
[2151.12 -> 2154.04]  Alright, we'll take an answer from the brothers if there is one.
[2154.04 -> 2156.60]  Al-Kib.
[2156.60 -> 2160.56]  That is actually one of the reasons to give us a practical lesson
[2160.56 -> 2163.72]  of submission to Allah subhanahu wa ta'ala, of patience, yes.
[2163.72 -> 2166.48]  So Prophet Muhammad sallallahu alayhi wa sallam
[2166.48 -> 2169.52]  He was tested more than any other prophet.
[2169.52 -> 2171.20]  He was tested more than any other prophet.
[2171.20 -> 2173.76]  One of the reasons is to teach us
[2173.76 -> 2178.40]  how to react in those situations, in those circumstances.
[2178.40 -> 2182.48]  So if you are insulted, how to react.
[2182.48 -> 2186.44]  If you are attacked physically, how to react.
