[0.00 -> 2.00]  Alhamdulillah
[193.08 -> 198.92]  uh uh the obvious one is uh people you know doing their birthdays they've achieved an extra year
[199.56 -> 205.16]  of uh wisdom but also that's another strange celebration because it's like you've lost a year
[205.16 -> 213.80]  of your life you're closer to death but maybe some people look forward to that but also um
[215.00 -> 219.40]  again like for example if you pass your exams or if you pass your driving test people like to
[219.40 -> 228.36]  celebrate right because you've achieved something. Likewise we Eid for us if you
[228.36 -> 234.28]  really understand what it is it's to celebrate what you have achieved in
[234.28 -> 239.16]  terms of what have you done to change yourself. So if you've gone through
[239.16 -> 244.56]  Ramadan inshallah you've become a better person by the end of Ramadan and that if
[244.56 -> 248.52]  you can continue you don't have to practice at the same level that you did
[248.52 -> 251.62]  during Ramadan, but if you can continue some good practice,
[251.62 -> 255.72]  then you have learned what you're supposed to learn
[255.72 -> 256.56]  during Ramadan.
[258.44 -> 261.72]  If again, Dhul-Hijjah blessed 10 days of the year,
[261.72 -> 263.94]  the best blessed 10 days of the year,
[265.08 -> 268.44]  that if you come out of it and a better person,
[268.44 -> 271.18]  that something you didn't do before those 10 days,
[271.18 -> 273.00]  you start doing it after,
[273.00 -> 274.36]  and maybe you give a bit more charity,
[274.36 -> 276.40]  maybe you're kind to your parents,
[276.40 -> 284.12]  maybe, you know, whatever, that that's a sign that your Ibadah during those 10 days, whether
[284.12 -> 289.16]  it's during Ramadan, that's a sign that it's your Ibadah was accepted. Because when the
[289.16 -> 294.92]  special time has finished, you have become a better person. So you have learnt what Allah
[294.92 -> 300.52]  and the Messenger salallahu alaihi wasalam wanted you to learn from doing that special
[300.52 -> 307.72]  Ibadah during those special times right. So really and so then Eid really becomes a celebration
[308.60 -> 315.08]  that the believer has transformed into a better person. They've committed to be a better Muslim,
[315.08 -> 324.44]  a better kind person to their fellow brothers and sisters, a better abid or worshipper of Allah
[324.44 -> 349.44]  So really this is the true celebration really that we celebrate and we ask Allah to accept our Ibadah to bring us closer to that outcome of earning his pleasure and becoming better individuals that reflect the character of the Prophet who himself reflects the beautiful divine attributes of Allah.
[349.44 -> 350.58]  Okay
[350.58 -> 352.58]  so today now we're gonna have a
[354.08 -> 360.30]  Special presentation so I'm actually gonna ask because it's gonna be I think I can use the microphone right because uh
[363.84 -> 365.94]  There is a class so okay, we'll leave the microphone
[365.94 -> 368.96]  but I'm gonna ask everyone to come closer now, and I'm also just gonna
[369.52 -> 374.60]  Just change things a little bit because we've got a special presentation. So I'm gonna just pop this up
[374.60 -> 387.28]  I need everyone to be able to see it though, so if you can come round, try something different.
[387.28 -> 391.60]  So Adim as well, you might want to sit here actually, it's just, if you're camera shy
[391.60 -> 396.96]  maybe there, but it's okay, so long as you can see it.
[396.96 -> 402.52]  So we talked about transforming ourselves into better people, and most people when we
[402.52 -> 410.24]  We have this concept of transformation, and I'll explain what the options are, so don't
[410.24 -> 411.24]  worry.
[411.24 -> 412.92]  This is to help with the presentation.
[412.92 -> 416.96]  But most people, they say, okay, I know I want to become a better person.
[416.96 -> 419.00]  I want to become a better Muslim.
[419.00 -> 422.08]  I know what, but I don't know how.
[422.08 -> 423.48]  I don't know how to do it.
[423.48 -> 424.84]  Do I read more Quran?
[424.84 -> 426.84]  Do I stay up more at tahajjud?
[426.84 -> 427.84]  Do I do more dhikr?
[427.84 -> 428.84]  Do I do more salawat?
[428.84 -> 433.52]  Do I pay more Zakat, like a Sadaqa?
[433.52 -> 434.64]  Most people don't know.
[434.64 -> 437.80]  You can come closer, I think it's OK.
[437.80 -> 440.88]  So here, what we have in this presentation
[440.88 -> 445.30]  is three very clear pathways, almost.
[445.30 -> 449.96]  So just like a person learning how to drive,
[449.96 -> 452.20]  you've got three options, right?
[452.20 -> 454.96]  First person, the most simple level, the basic level,
[454.96 -> 456.70]  a person says, I just want to learn how to drive.
[456.70 -> 458.68]  I don't care about gear shifts and all that.
[458.68 -> 464.40]  to do automatic. I just want to learn automatic, yeah. So that's the easiest, usually that's
[464.40 -> 469.12]  the easiest way to learn driving, isn't it? You just push the gas and the brake, that's
[469.12 -> 473.72]  it. And you don't even need your left foot. You just use the right foot, yeah. Then the
[473.72 -> 478.00]  next person says, actually, you know what? I don't want to learn just automatic. I want
[478.00 -> 482.96]  to learn manual because sometimes I might be driving, I want to be a more skilled driver.
[482.96 -> 487.52]  I want to be able to drive more types of cars. So I want to learn manual. That means I can
[487.52 -> 493.52]  also I know how to drive automatic but also I have an additional skill yeah and then they have
[494.16 -> 499.84]  you have the past plus you remember that when you were doing your driving they said your instructor
[499.84 -> 504.88]  says to you okay you've passed well done you can start driving now but if you want you can take
[504.88 -> 509.76]  some more lessons with me to do this past plus which makes you an even more advanced driver
[510.56 -> 514.16]  and if you want to go even further you can learn how to become a driving instructor and you can
[514.16 -> 519.68]  start teaching people so that you can say is the highest form of driving to teach other people
[520.24 -> 528.48]  yeah so just like similarly in islam we have different types of people and different things
[528.48 -> 535.84]  that people want some people they want jannah they want to live in this life and after we die
[535.84 -> 540.24]  we want to have we want to live in jannah and have allah's pleasure hopefully that's everyone
[540.24 -> 544.60]  Minimum, yeah, I can't imagine someone said I don't want to another bit strange
[544.96 -> 549.16]  We need to talk a bit more to maybe check correct some understanding
[550.00 -> 555.64]  So gardens of paradise. That's the that's the first part. I'm gonna talk to you today. You can come closer if you
[556.24 -> 560.00]  Because it's a small screen. I need people to be able to see it comfortably
[561.00 -> 567.48]  So and also got a funny angle just because I'm also streaming so I have to just check is comfortable. I'm blessed. So
[567.48 -> 571.76]  So that's the first one, people that want Jannah, okay, it's like the person that wants
[571.76 -> 575.78]  to learn how to drive automatic, I just want, and we have that.
[575.78 -> 579.56]  At the time of the Prophet Sallallahu Alaihi Wasallam, a Bedouin once came to the Prophet
[579.56 -> 584.76]  Sallallahu Alaihi Wasallam and said to the Messenger of Allah, oh Allah just, oh Sayyidina
[584.76 -> 588.12]  Rasulullah Sallallahu Alaihi Wasallam, just teach me the bare minimum of what I need to
[588.12 -> 591.40]  learn to get to Allah, like as in to earn Jannah basically.
[591.40 -> 595.80]  So the Prophet Sallallahu Alaihi Wasallam said that, and essentially went through the,
[595.80 -> 598.00]  what we call the pillars of the faith,
[598.00 -> 600.76]  that taught him the basics.
[600.76 -> 603.32]  And then the man said, is that all I need to do?
[603.32 -> 606.02]  And I'm definitely, if I just do only that,
[606.02 -> 607.72]  I'll go to Jannah.
[607.72 -> 608.80]  And the Prophet Sallallahu Alaihi Wasallam said, yes.
[608.80 -> 611.04]  And so the man went home, he was very happy
[611.04 -> 613.12]  and he's just saying Allahu Akbar, Allahu Akbar.
[613.12 -> 615.88]  He said, that's it, by Allah I'm not gonna do anything else
[615.88 -> 617.36]  except the bare minimum.
[617.36 -> 619.00]  And you said I'll go to Jannah if I do that.
[619.00 -> 620.56]  So that's what the messenger of Allah said
[620.56 -> 622.64]  and that's what I'm gonna do, right?
[622.64 -> 625.34]  So it's like, again, it's the same person saying,
[625.34 -> 627.14]  If I need to drive, what's the easiest way to do it?
[627.14 -> 628.42]  Learn automatic.
[628.42 -> 629.26]  Are you sure?
[629.26 -> 630.58]  That's all I need to do?
[630.58 -> 631.54]  Maybe how many lessons?
[631.54 -> 632.38]  10 lessons?
[632.38 -> 633.42]  Minimum?
[633.42 -> 634.26]  Yeah.
[635.14 -> 636.34]  Then the person will be very happy.
[636.34 -> 639.14]  So I only need to do 10 lessons, I can drive forever.
[639.14 -> 639.98]  Yeah.
[640.82 -> 642.22]  Then the next person may say,
[642.22 -> 643.94]  actually, I want more than that.
[643.94 -> 645.18]  Yes.
[645.18 -> 649.18]  Jannah is the kingdom that Allah gives.
[649.18 -> 650.58]  But some people, that's not enough.
[650.58 -> 653.06]  They say, I want not the kingdom,
[653.06 -> 655.88]  I want the king of the kingdom.
[655.88 -> 658.24]  The one who gives all the things.
[658.24 -> 659.44]  In the kingdom, yes, you have,
[659.44 -> 661.48]  and in general, you'll have everything you want,
[661.48 -> 665.88]  but I want the one who gives this.
[665.88 -> 668.30]  And there's a really beautiful story
[668.30 -> 673.30]  where once a king said to a number of people,
[673.52 -> 675.88]  you can have whatever you like from my kingdom,
[675.88 -> 677.16]  take whatever you like.
[677.16 -> 678.32]  So everyone went crazy.
[678.32 -> 681.32]  They're like, I want this gold, I want this land,
[681.32 -> 687.32]  I want this castle and the king said yeah take it all of it and then whatever you want and then one person
[688.08 -> 694.72]  Went up to the king and held the hand of the king and the king was confused. He said what do you want?
[695.44 -> 697.08]  You can have anything
[697.08 -> 703.94]  So anything you touch you can have so the person touch the hand of the king and this person said I don't want your kingdom
[703.94 -> 705.94]  I want you I
[706.44 -> 708.44]  think it was a
[708.44 -> 712.16]  And then I think it was a I can't remember the exact story about fingers a female
[712.16 -> 715.56]  She ended up marrying the king and you probably yeah, she ended up marrying the king
[715.56 -> 720.16]  And yeah, she had the king as well as then then by becoming Queen
[720.16 -> 724.40]  She had everything that the king offered whereas the people they just saw oh
[725.00 -> 729.80]  You know if you get a castle fine, you get a castle if you got land you got land if you get
[730.64 -> 732.78]  Food you get food money you got money
[733.56 -> 736.46]  But that's all you get because that's what those people chose
[736.46 -> 743.90]  So some people want more and so the second pathway is a friendship of Allah where Jannah people want more
[743.98 -> 749.50]  They want to for example, we even know in Jannah that that there are different levels of Jannah, right?
[749.74 -> 751.54]  so like the the
[751.54 -> 756.86]  Seven they say like this in reality. There's actually many many levels of Jannah, but let's say we're taught
[756.86 -> 761.46]  There's at least seven so it's almost like the lowest heaven all of those things are still Jannah
[761.46 -> 766.46]  the lowest heaven, the highest, we hear Janat al-Firdaus, etc.
[766.46 -> 769.46]  There's even very, very high levels.
[769.46 -> 772.46]  But one of the things that they say, the people of Jannah,
[772.46 -> 775.46]  even though they'll have everything,
[775.46 -> 778.46]  one of the most beautiful things that they will enjoy,
[778.46 -> 784.46]  who knows, what would be the highest pleasure in Jannah?
[784.46 -> 788.46]  You might have heard it before.
[788.46 -> 799.34]  The presence of Sayyidina Rasulullah sallallahu alayhi wa sallam absolutely and to be in the presence of Allah sallallahu alayhi wa sallam
[799.34 -> 807.90]  because that's where Sayyidina Rasulullah sallallahu alayhi wa sallam will be okay so people will yearn to see Allah and there will be a day every week that Allah
[809.18 -> 817.90]  comes to in a way that befits his majesty that will allow the believers to see those who want to see but only a special people that sincerely seek that will get it
[818.46 -> 821.86]  Now there will be other people in different levels of Jannah, they'll enjoy their Jannah,
[821.86 -> 825.16]  but there will be some people that want the highest.
[825.16 -> 831.06]  So these people, they want the friendship of Allah, we know it as the word is like the Auliya of Allah, yeah?
[831.06 -> 833.46]  They really truly just want Allah SWT.
[833.46 -> 840.16]  Now, there is a level, you might think what's higher than that, the person who wants Allah?
[840.16 -> 842.66]  There is one level that's higher than that.
[842.66 -> 850.30]  I'll explain that first of all the first two levels I mentioned that you can see on the on the screen
[852.18 -> 857.98]  Those are mainly people that want it for themselves I want done now I want Allah
[859.22 -> 864.54]  But there's another type of person that wants for other people
[866.14 -> 868.14]  Now we know on the day of judgment
[868.14 -> 874.14]  When everyone will forget, even their mother, their father, they run away from their children,
[874.14 -> 879.14]  everyone will be saying, nafsi nafsi, Allah saved myself, myself.
[879.14 -> 884.14]  But only one individual will say, will not be speaking about himself,
[884.14 -> 889.14]  will say ummati ummati, and that is Sayyidina Rasulullah sallallahu alayhi wa sallam.
[889.14 -> 896.14]  So this shows us, it's actually, it's not just at the end of time that the Prophet sallallahu alayhi wa sallam will do this,
[896.14 -> 904.30]  it was actually during his life he sacrificed his peace his happiness so that he went through
[904.30 -> 908.86]  pain and hardship so that we would get other people would get to understand who Allah is
[908.86 -> 914.06]  his deen of Islam we have it today because of Sayyidina Rasulullah he had the choice not to
[914.06 -> 919.82]  spread it he didn't have to spread it he's a human he had the choice to do or not to do
[919.82 -> 923.82]  but he chose to sacrifice and this is true sacrifice when we talk about qurbani the
[923.82 -> 931.18]  Eid that's just gone. True sacrifices to sacrifice your comfort to the things that block you from Allah
[932.30 -> 938.30]  to get closer to Allah but also to sacrifice your comforts that other people can be saying.
[938.94 -> 944.14]  This is the mission of Sayyidina Rasulullah sallallahu alaihi wasallam throughout his life
[945.10 -> 950.30]  even before he came into physical existence because we understand from the hadith that Sayyidina
[950.30 -> 957.18]  Rasulullah sallallahu alaihi wa sallam was the the first created the nur of Sayyidina Rasulullah sallallahu alaihi wa sallam was the first
[957.54 -> 959.78]  creation that Allah SWT made
[960.34 -> 966.16]  And then there is it's known that that then we can go into this is a probably another lecture in of itself
[967.22 -> 969.02]  but
[969.02 -> 971.86]  Allah SWT willed to be known
[971.86 -> 978.30]  you know this is from Allah's will and then and and Sayyidina Rasulullah sallallahu alaihi wa sallam was the first to bear witness to
[978.30 -> 982.06]  Allah SWT and his beauty and his majesty and his divine attributes and
[982.66 -> 986.60]  When you love something you want to share it really that's the true of definition of love
[987.62 -> 990.02]  so say my rasool Allah SWT then
[991.26 -> 997.34]  Requested Allah SWT to create us so that the new or the beauty of Allah SWT can be shared
[997.74 -> 1004.74]  He said Sallallahu Alayhi Sallam did not keep that that he could have had just a one-to-one relationship with Allah. That's it
[1004.74 -> 1011.74]  he could have, that was his option, but he loved so much, he loved Allah S.W.T. so much and he loved us
[1011.74 -> 1017.74]  even before we were created that he requested us to be created so that we could benefit from, we could have Islam
[1017.74 -> 1030.74]  that we could be his companions in Jannah and his brothers. So this shows that the prophetic mission is the one who wants for more than himself
[1030.74 -> 1036.26]  want for other people to benefit. So there will always be, this is a, the reason I say this is the
[1036.26 -> 1040.66]  three pathways is because there's something for everyone in this. That's what I was meaning I think
[1040.66 -> 1046.66]  when you asked earlier, everyone wants at least something. So but the question still is how do I
[1046.66 -> 1053.38]  achieve it? And this is where our teachers have explained simple things you could do with whichever
[1053.38 -> 1060.50]  category you're in, you can do a simple thing to then inshallah practically achieve this for yourself.
[1060.50 -> 1065.38]  So I'm going to go through it each one what you can practically do if you're the
[1070.42 -> 1076.10]  Person a friend of Allah and the third character if you want to carry the the prophetic message
[1077.22 -> 1079.22]  There are steps that you can take it's very easy
[1079.70 -> 1084.74]  But anyone can do it. So that's really this is really uh, that's what we mean when it's a special lecture today
[1084.74 -> 1087.30]  So I really encourage everyone to to keep looking
[1087.30 -> 1095.30]  So the first one, I'm just going to check, it's changed as well, that's annoying, so I'm just going to, there we go, Alhamdulillah.
[1095.30 -> 1102.30]  So the first category is Gardens of Paradise, inshallah. So that's this.
[1102.30 -> 1108.30]  We'll go into Gardens of Paradise, the person seeking Jannah, okay?
[1108.30 -> 1134.30]  And really, it's quite simple. First and foremost, when we come to these talks, generally speaking, or when we come to the masjid, whenever we are seeking Allah SWT, right now we are in a garden of jannah because the angels cover, any gathering we come to remember Allah, the angels cover the gathering and the baraka of Allah SWT rains down.
[1134.30 -> 1140.06]  then this is a gathering where Allah boasts to his angels that when my
[1140.06 -> 1144.14]  believers remember me in a gathering I remember my believer in a greater
[1144.14 -> 1150.02]  gathering so Allah calls says each of your names in a greater gathering as in
[1150.02 -> 1157.18]  more angels more like a much larger gathering than this and Allah explains
[1157.18 -> 1162.22]  that too this is how we understand so this is already a Garden of Jannah
[1162.22 -> 1168.20]  already and so but you can still benefit practically and really there's kind of
[1168.20 -> 1174.68]  there's three keys three keys if you want to become a person of Jannah how to
[1174.68 -> 1180.96]  train yourself to become like that to inshallah earn the qualification of
[1180.96 -> 1185.36]  entering into Jannah very easy and so the teachers we they teach us three
[1185.36 -> 1189.28]  three simple steps that's outlined here but we're gonna go into it in detail
[1189.28 -> 1208.28]  I'll explain it. There's technically four steps. There's one step. If you think of these three as three keys, there's a door that these keys open. And you need to walk through that door first, and then you have the keys, or you need to actually identify what the door is and then have the three keys to unlock it. Okay?
[1208.28 -> 1212.28]  and you need to walk through that door first
[1212.28 -> 1214.28]  and then you have the keys
[1214.28 -> 1216.28]  where you need to actually identify what the door is
[1216.28 -> 1218.28]  and then have the three keys to unlock it.
[1218.28 -> 1222.28]  So the door really is, first of all,
[1222.28 -> 1224.28]  it's this, it's understanding that
[1224.28 -> 1228.28]  Allah is our ultimate purpose and objective in life.
[1228.28 -> 1230.28]  Again, many people,
[1230.28 -> 1232.28]  this is a very simple concept,
[1232.28 -> 1234.28]  but many people, we struggle,
[1234.28 -> 1236.28]  we don't understand it properly, we don't understand how to achieve it.
[1236.28 -> 1239.02]  That's what the three keys are for and I'll explain it later
[1239.70 -> 1243.58]  But when we have a lost one at all at the purpose of the center of our life
[1244.30 -> 1246.74]  Just like people family members that go hajj
[1247.30 -> 1252.64]  They make to offer on the cover that action of going to offer on the cover who's gone to omra
[1254.30 -> 1258.70]  Or hajj or anything, but you all you've seen it you see it. I shall I one day we'll all get to go
[1258.70 -> 1260.70]  inshallah together as well
[1261.26 -> 1263.62]  but the action of going around the
[1263.62 -> 1272.14]  the Kaaba, the Baytullah, the house of Allah SWT on this earth, is the
[1272.14 -> 1277.06]  action of putting Allah at the center of your life. Just like the
[1277.06 -> 1283.70]  planets orbit the Sun, the hujjaj, they orbit the Kaaba, really we want Allah at
[1283.70 -> 1287.58]  the center of our life. So then everything that Allah commands, that's the
[1287.58 -> 1291.42]  priority in our life. This is what it means to have Allah as your priority. If
[1291.42 -> 1301.42]  If we have to do Salah, Namaz, if we have to do Zakat, if we have to do, we don't think that the opposite is to try and fit Allah into your life.
[1301.42 -> 1307.42]  That means your life is at the center of the universe and you're trying to fit Allah into it or Islam into it.
[1307.42 -> 1312.42]  That's not the right approach. Many people they complain about Salah, they say I don't have time for it.
[1312.42 -> 1317.42]  It's because they're so busy, they just need to make a slight switch in mindset.
[1317.42 -> 1329.42]  My prayers are important so I'm going to make sure I attend those and then everything else in my life will fit around that and I'll enjoy my life because I'm doing what I meant to do and I'm fulfilling my responsibilities as well.
[1329.42 -> 1337.42]  But if you flip it around and you prioritize other things, make those your purpose, you'll never get true peace or happiness because those things are temporary.
[1337.42 -> 1342.42]  If you make your children or your family or your wealth.
[1342.42 -> 1346.84]  If any of these things are your purpose the easy question to ask is
[1347.74 -> 1349.74]  You know your purpose should last
[1350.14 -> 1354.94]  It should be it should last before you came here and should last long after you're here. So
[1355.94 -> 1363.90]  Before you came here. Did you have any wealth? No, did you have any children? No, did you have any family? No, did you have any status? No
[1365.34 -> 1370.82]  Also after you leave this this done. Yeah again, your purpose should last longer than your life
[1370.82 -> 1377.94]  Will you have a status once you're dead, like in a hundred, two hundred, three hundred years?
[1377.94 -> 1379.74]  Most people forget who you are.
[1379.74 -> 1380.74]  Will you have wealth?
[1380.74 -> 1382.34]  It will be gone.
[1382.34 -> 1386.22]  So these things cannot be your purpose of life because they're temporary.
[1386.22 -> 1391.54]  Anyone who has a temporary purpose, people say is, you don't know what you're doing.
[1391.54 -> 1395.14]  But our last one is infinite, he was there before you came to this earth.
[1395.14 -> 1397.50]  He's there after you leave this earth.
[1397.50 -> 1402.30]  So to attach to that purpose means you'll always have a purpose that will guide you.
[1402.30 -> 1403.30]  That's the purpose.
[1403.30 -> 1406.34]  The point of having purpose is to guide you.
[1406.34 -> 1408.80]  That's what people call it goals, objectives.
[1408.80 -> 1414.38]  So that's why having temporary goals and objectives doesn't make sense.
[1414.38 -> 1415.38]  So Alhamdulillah.
[1415.38 -> 1422.74]  So that's really the first key to this, the door, so to speak, that we want to approach
[1422.74 -> 1423.74]  and open.
[1423.74 -> 1428.24]  the keys in which to have Allah SWT at the center of our life.
[1428.24 -> 1430.74]  There's three ways how the Mashayikh teach how to do it.
[1430.74 -> 1434.24]  If you implement these in your life, you can become a person of Jannah.
[1434.24 -> 1435.74]  So that first category.
[1435.74 -> 1441.24]  First, the first key is to have presence.
[1441.24 -> 1443.24]  They call it hudur ma'Allah.
[1443.24 -> 1449.24]  It really just means to remember Allah regularly.
[1449.24 -> 1452.74]  And again, this helps you.
[1452.74 -> 1455.02]  Anyone can do it, by the way, and there's a very easy method
[1455.02 -> 1456.62]  that our teachers teach.
[1456.62 -> 1458.46]  Anyone can, you can learn it right now,
[1458.46 -> 1462.54]  which is based on the conversation between
[1462.54 -> 1464.38]  when Sayyidina Musa Alayhi Salaam
[1464.38 -> 1466.42]  was getting ready to face Firaun
[1466.42 -> 1470.26]  and he had to take his cousin Sayyidina Harun Alayhi Salaam.
[1470.26 -> 1472.18]  Of course, Sayyidina Musa Alayhi Salaam was nervous
[1472.18 -> 1474.70]  because Firaun is a major tyrant.
[1474.70 -> 1477.62]  He killed many, many people and it's a major task.
[1477.62 -> 1480.46]  Imagine, you know, you're told you have to take down
[1480.46 -> 1487.78]  tyrannical leader, very scary, even for the Anbiya, okay? Because again, there are teachers
[1487.78 -> 1492.34]  of us to teach us, but they also went through struggle. If we think our struggles are difficult,
[1492.34 -> 1501.50]  theirs were much greater. But Allah subhanahu wa ta'ala said to Sayyidina Musa, do not worry,
[1501.50 -> 1510.18]  and then goes on to say, I see, so I am with you, I see you and I hear you. Imagine if someone
[1510.18 -> 1518.26]  says to you imagine you're gonna go to I don't know like a cricket match just
[1518.26 -> 1524.66]  going to just snatch something like a be a thief okay I don't know about the I'm
[1524.66 -> 1527.36]  trying to find a good example like something you want imagine you go to an
[1527.36 -> 1533.58]  exam actually yes you're afraid like you're gonna fail right but imagine or
[1533.58 -> 1537.18]  even let's say driving let's stick with the driving example I remember when I
[1537.18 -> 1538.46]  I first did my driving test.
[1538.46 -> 1539.70]  I didn't want to do it alone.
[1539.70 -> 1542.22]  I wanted my instructor in the car.
[1542.22 -> 1543.26]  Examiner's in the car,
[1543.26 -> 1545.46]  but I also wanted my instructor in the back.
[1545.46 -> 1547.70]  It made me feel a lot more reassured.
[1547.70 -> 1549.10]  Imagine he says to me,
[1549.10 -> 1552.02]  don't worry, Imran, I'm with you.
[1552.02 -> 1553.86]  I'm here in the back, don't worry about it.
[1553.86 -> 1555.06]  I'm watching everything you do.
[1555.06 -> 1556.66]  So any mistakes, I'll let you know.
[1556.66 -> 1558.90]  And I'm listening to you as well.
[1558.90 -> 1562.02]  So any questions you have, I'll answer, yeah.
[1562.02 -> 1564.18]  Then I'd feel very confident going into my tests
[1564.18 -> 1565.46]  because I know my instructor's in the back
[1565.46 -> 1569.70]  I can ask him any questions. Now, of course, I'm not allowed to ask him questions in the exam
[1570.38 -> 1572.86]  But the example I'm giving is that I feel reassured
[1573.72 -> 1579.86]  So again, similarly our last gave this advice to say the Musa license that I'm with you. I see you. I hear you
[1579.86 -> 1584.74]  Don't worry. No problem any issues any difficulties you have come to me. That's why Allah teaches us
[1585.10 -> 1590.66]  So when you think of these three keys here, it says I hear Allah's with me Allah sees me Allah's hearing me
[1590.66 -> 1599.46]  that our teachers teach us to remember this maybe once an hour every hour like
[1599.46 -> 1603.78]  one o'clock two o'clock three o'clock just just remember one sentence for five
[1603.78 -> 1608.22]  seconds Allah sees me Allah hears me Allah's with me if you can practice
[1608.22 -> 1613.50]  that every hour you can become you can start to train yourself to be remembering
[1613.50 -> 1617.74]  hudur ma Allah to be in the presence of Allah and when Allah is in your life
[1617.74 -> 1622.50]  then you you do less sin and you do more good things even even the masha'ikh say
[1623.38 -> 1629.50]  That when you're even in the middle of sin if you're doing something bad, it's better to remember Allah
[1629.94 -> 1632.60]  Some people say no. No, I shouldn't remember Allah because I'm doing something bad
[1632.60 -> 1639.86]  It's really bad. That's shaitan telling you just be more ghafla more heedlessness and become even far further away from Allah
[1640.58 -> 1642.58]  But if you just say I remember Allah
[1644.34 -> 1646.58]  Allah sees me Allah hears me Allah's with me
[1646.58 -> 1653.24]  Then maybe for five seconds even while you're doing sin you remembered Allah and for that five seconds
[1653.24 -> 1655.24]  Maybe that could pull you out of the sins later
[1656.20 -> 1658.96]  Yeah, so this is better to remember but again
[1659.48 -> 1661.04]  Even when we're at work, you can do this
[1661.04 -> 1666.16]  Anyway, if you're at work if you're with family if you're eating if you're even before you go to sleep
[1666.72 -> 1668.72]  Do this and you get the barakah of this?
[1670.16 -> 1674.36]  Alhamdulillah so and this is part the reason this is the first key
[1674.36 -> 1684.80]  this is really emphasized, is because there's a very, very high station of worship, a high
[1684.80 -> 1692.12]  state of being, which is the state of Ihsan. So, and this is again tied to another hadith,
[1692.12 -> 1697.08]  where Sayyidina Jibril came to the Prophet Sallallahu Alaihi Wasallam and asked three
[1697.08 -> 1701.32]  questions, right, in a public gathering like this. But Sayyidina Jibril, you might have
[1701.32 -> 1708.32]  heard was in almost like took a human form, appearance.
[1708.32 -> 1711.04]  And imagine we're having a class now.
[1711.04 -> 1714.20]  And suddenly imagine a stranger, a very, very clean stranger,
[1714.20 -> 1716.92]  beautifully dressed in white, perfect hair,
[1716.92 -> 1718.60]  but a traveler in the desert.
[1718.60 -> 1720.20]  Imagine you come from the desert,
[1720.20 -> 1721.84]  but he looks perfect, immaculate,
[1721.84 -> 1723.88]  like he hasn't traveled.
[1723.88 -> 1726.32]  A stranger, he hasn't even stayed with anyone.
[1726.32 -> 1727.52]  So how could he look so clean?
[1727.52 -> 1729.88]  Where did he do a bustle?
[1729.88 -> 1730.64]  It's strange.
[1730.64 -> 1732.40]  It's strange.
[1732.40 -> 1735.64]  But imagine now, this stranger, imagine, like I know,
[1735.64 -> 1740.64]  I know you four, but imagine someone comes
[1741.58 -> 1744.38]  and they, we don't even know who he is.
[1744.38 -> 1745.96]  And he comes straight to the front of the gathering,
[1745.96 -> 1748.94]  puts his hands on my knees and leans in very closely
[1748.94 -> 1751.22]  and says, he interrupts the gathering
[1751.22 -> 1752.42]  and asks three questions.
[1753.34 -> 1755.12]  Most of you will be shocked.
[1755.12 -> 1756.12]  And you're like, I don't know who he is.
