[0.00 -> 2.06]  you
[393.72 -> 398.48]  And so we raise our hands in dua, asking Allah subhanahu wa ta'ala for aid and assistance.
[398.48 -> 428.44]  We've come here this evening to hear words that we aspire to bring change in us and inspire
[428.44 -> 436.12]  a change in us and create a real want and desire for you to reach your pleasure and
[436.12 -> 438.12]  to reach your closeness.
[438.12 -> 442.28]  Reward everybody who has come here today and you alone know what they have gone through
[442.28 -> 447.12]  to be here, any barriers, any blocks, any obstacles that they have had to overcome
[447.12 -> 454.84]  through your tawfeeb, through your facilitation and purify our hearts from hypocrisy and our
[454.84 -> 461.34]  actions from riyadh, from ostentation and purify our bodies and our minds and our hearts and our souls
[461.34 -> 466.84]  in order for you to be pleased with us and so that we may return to you in the state
[466.84 -> 470.04]  which you created us in a pure and blessed state.
[477.74 -> 479.74]  We thank Allah subhanahu wa ta'ala
[481.44 -> 483.44]  for
[483.44 -> 485.44]  the blessing of
[485.52 -> 487.52]  existence
[488.04 -> 489.24]  For
[489.24 -> 494.56]  We were once something that was never mentioned that was not mentioned
[495.72 -> 500.04]  And so Allah subhanahu wa ta'ala out of his love
[500.72 -> 506.16]  Not out of need he created us subhanahu wa ta'ala and created
[506.72 -> 508.92]  everything that exists and
[510.28 -> 512.28]  We thank Allah subhanahu wa ta'ala
[512.28 -> 522.06]  Ta'ala for the blessing that he conferred upon us by making us human beings.
[522.06 -> 528.74]  How often do we think about this as a blessing, as a ni'ma from Allah subhanahu wa ta'ala.
[528.74 -> 536.22]  You see a dog, a dog cannot object now that it is created, it can't object and say Ta'Allah
[536.22 -> 541.76]  I want to be a human being I don't want to be a dog and
[542.92 -> 544.64]  so
[544.64 -> 549.52]  None of the creation can object now and say that who they want to be human beings
[549.52 -> 552.00]  But Allah conferred that blessing upon us
[553.20 -> 557.76]  and such is the privilege that all the animals all of the
[558.48 -> 560.48]  creation even the angels
[560.48 -> 567.76]  even the angels they look at human beings and they envy human beings for
[567.76 -> 573.68]  the fact that they are human and so how often do we thank Allah subhanahu wa ta'ala for
[573.68 -> 582.16]  this truly it is a privilege but like every privilege there is responsibility
[582.16 -> 590.08]  that comes with it it's not just a gift like that where there is no account now
[590.08 -> 601.08]  Now Allah subhanahu wa ta'ala when He sent His Prophets Musa alayhi s-salam and Sayyidunah Harun alayhi s-salam to Pharaoh
[601.08 -> 611.08]  They said, Ya Rabbul Alamin, we're afraid that He might kill us, that He might do something to us, He might harm us
[611.08 -> 614.08]  And Allah subhanahu wa ta'ala He said,
[614.08 -> 626.68]  He said, don't be afraid, don't be afraid, both of you don't be afraid, indeed I am with
[626.68 -> 636.36]  you, I am with you, I am listening and I am watching.
[636.36 -> 648.08]  And from this, Musa A.S. learnt from his Lord when the two parties, meaning the two groups,
[648.08 -> 655.52]  Bani Israel and Qawm Firaun, when the sea was in front of Musa A.S. and the army was
[655.52 -> 659.76]  behind him, the people, Bani Israel, they said,
[659.76 -> 666.76]  Surely, we've been caught. That's it. They've got us.
[666.76 -> 671.76]  And so Musa A.S. who learned from his Lord, he said,
[671.76 -> 681.76]  No, indeed I have with me my Lord who will guide me. He is with me.
[681.76 -> 692.28]  So Allah subhanahu wa ta'ala reassured his prophets Musa and Harun alayhim as-salaam that
[692.28 -> 705.12]  I am with you I'm listening and I'm watching but Allah subhanahu wa ta'ala he did not interrupt
[705.12 -> 714.96]  Allah subhanahu wa ta'ala did not interrupt the freedom of will that the people, that
[714.96 -> 719.42]  human beings and the jinnah that they can exercise.
[719.42 -> 724.32]  He told Sayyiduna Musa, I'm with you, I can see and I can hear.
[724.32 -> 729.78]  But Allah subhanahu wa ta'ala does not interfere.
[729.78 -> 736.62]  is not to say that Allah subhanahu wa ta'ala his will is his will is not to
[736.62 -> 741.94]  come no it means that Allah subhanahu wa ta'ala does not interfere in our freedom of will
[741.94 -> 753.90]  and so he let everybody do whatever they want to do Allah subhanahu wa ta'ala he said
[753.90 -> 760.30]  Say, O Muhammad, the truth has come from your Lord.
[760.30 -> 761.90]  فَمَنْ شَاءَ فَلْيُؤْمِلْ
[761.90 -> 768.30]  Whoever wills, meaning whoever uses their freedom of will, he can believe.
[768.30 -> 769.50]  وَمَنْ شَاءَ فَلْيَكْفُرْ
[769.50 -> 774.90]  And whoever wants to disbelieve, he can disbelieve.
[774.90 -> 781.20]  But this is the truth from Allah SWT that you have the choice.
[781.20 -> 784.48]  You have the freedom.
[784.48 -> 787.00]  But Allah Ta'ala said,
[787.00 -> 790.40]  إِنَّا أَعْتَدْنَا لِلظَّالِمِينَ نَوْرًا
[790.40 -> 796.36]  that we have prepared for the disbelievers a fire.
[796.36 -> 800.40]  Now everyone is free.
[800.40 -> 803.28]  Let this be established
[803.28 -> 805.72]  and we will elaborate
[805.72 -> 809.12]  everyone is free on Allah Subhanahu wa Ta'ala
[809.12 -> 818.56]  in no uncertain terms has confirmed this do what you please
[822.80 -> 833.44]  he is he is seeing everything that you are doing but you can do what you want because
[833.44 -> 839.80]  Because you have been given this freedom of will.
[839.80 -> 848.42]  Now many people question what is happening in the world, especially non-Muslims and people
[848.42 -> 855.18]  whose faith is weak or shaky, they question, they say, why is there suffering?
[855.18 -> 858.02]  Why are people starving to death?
[858.02 -> 859.02]  Why?
[859.02 -> 868.82]  is it that there are people who play with billions while others cannot play
[868.82 -> 880.18]  with bread. Now Allah subhanahu wa ta'ala he has created sufficient rizq, he has
[880.18 -> 884.70]  placed on earth sufficient rizq. Allah said
[884.70 -> 896.78]  And Allah, He placed in precise measure on earth its Qut, its provision, meaning for
[896.78 -> 905.26]  every living being that will ever be, there is enough food and drink for everything.
[905.26 -> 914.34]  So Allah has placed sufficient means, sufficient provision, and Allah has given sufficient
[914.34 -> 923.16]  guidance. So there is no shortcoming from Allah subhanahu wa ta'ala. So where does
[923.16 -> 929.52]  this suffering come from? Where does this, where does war come from? Where does,
[929.52 -> 935.78]  where does genocide come from? Where the crimes come from?
[935.78 -> 941.50]  Allah subhanahu wa ta'ala, He did not wrong anybody. He has given us the
[941.50 -> 947.74]  guidance that we need and he has given us the food that we need he said in the
[947.74 -> 953.14]  Allah ala yablimu an-nasa shay'a wa lakin an-nasa anfusahum yablimoon
[953.14 -> 959.06]  indeed Allah does not wrong the people at all in the slightest but it is the
[959.06 -> 965.86]  people who wrong themselves so people ask today and many people as we said say
[965.86 -> 971.02]  why is there suffering why is this they've missed the point they've missed
[971.02 -> 978.34]  the point what is that point and what we want to speak about today which is the
[978.34 -> 985.86]  reality of this world that allahu jalla jalaluhu he created this world in order
[985.86 -> 993.66]  to test people not to punish or reward people that's for a different world we
[993.66 -> 999.10]  We are here in Darul Amal, as Rasool Allah Sallallahu Alaihi Wasallam called it.
[999.10 -> 1009.02]  Darul Amal, this is the world of work, of action, reaction, tests, Darul Jazaa, the
[1009.02 -> 1017.82]  world of recompense, that's a different world, that's in the hereafter.
[1017.82 -> 1022.82]  And Allah Jalla Jalaluhu, He said in Surah Al-Ankabut,
[1022.82 -> 1026.82]  ظهر الفساد في البر والبحر.
[1026.82 -> 1028.82]  Surah Al-Rum, rather.
[1028.82 -> 1031.82]  ظهر الفساد في البر والبحر.
[1031.82 -> 1045.82]  Fasad, disturbance, destruction, corruption has appeared on the land and on the sea.
[1045.82 -> 1056.42]  So, when we look today at the chaos that is around us, people ask, why is there such chaos?
[1056.42 -> 1057.94]  Why is there war?
[1057.94 -> 1060.34]  Why is there oppression?
[1060.34 -> 1062.58]  Why is there corruption?
[1062.58 -> 1068.78]  Allah Ta'baraka Wa Ta'ala, we said, He has given sufficient guidance.
[1068.78 -> 1072.78]  He's not fallen short, Jalla Jalaluhu, in giving us the guidance that we need.
[1072.78 -> 1073.82]  And so he said,
[1073.82 -> 1079.66]  ظهر الفساد في البر والبحر بما كسبت أيدي الناس
[1079.66 -> 1085.38]  Corruption has appeared, it has spread on the land and on the sea
[1085.38 -> 1088.58]  بما كسبت أيدي الناس
[1088.58 -> 1093.18]  Due to what humans have done with their hands
[1093.18 -> 1094.34]  كسبت أيدي الناس
[1094.34 -> 1098.50]  Due to what the hands of people have earned
[1098.50 -> 1099.62]  What do you earn?
[1099.62 -> 1103.18]  You earn the fruit of your labor,
[1103.18 -> 1104.82]  what you put in with,
[1104.82 -> 1106.94]  what effort you put in with your hand.
[1106.94 -> 1111.78]  So what are the consequences that we are seeing due to?
[1111.78 -> 1115.40]  They are due to our own actions.
[1115.40 -> 1117.94]  This chaos that we're seeing
[1117.94 -> 1121.58]  is due to the facade of mankind and the jinn as well.
[1121.58 -> 1122.54]  They're not absolved
[1122.54 -> 1124.38]  because they too have freedom of will.
[1124.38 -> 1139.02]  Now, it is our deeds, they are the ones that ascended to Allah subhanahu wa ta'ala and
[1139.02 -> 1147.30]  the result, the consequences are created by Allah, but who was the cause for those consequences
[1147.30 -> 1148.86]  to even appear?
[1148.86 -> 1152.14]  They were us.
[1152.14 -> 1156.54]  Allah subhanahu wa ta'ala did not create suffering.
[1156.54 -> 1162.94]  Allah subhanahu wa ta'ala, He did not create this corruption that we see on earth.
[1162.94 -> 1163.46]  When He said,
[1163.46 -> 1165.62]  ظهر الفساد في البر والبحق
[1165.62 -> 1168.58]  Corruption has appeared on land and on the sea.
[1168.58 -> 1170.70]  Why? Because Allah wants it?
[1170.70 -> 1172.10]  Because Allah likes it?
[1172.10 -> 1173.18]  No!
[1173.18 -> 1176.06]  Because of what we have done.
[1176.06 -> 1179.18]  Because of what we have done.
[1179.18 -> 1187.18]  In the, from the hadith of Bani Israel, the Israiliyat, which the Rasul Sallallahu Alaihi Wasallam, he said
[1187.18 -> 1189.68]  حَدِّثُ عَمْ بَنِ إِسْرَائِلَ وَلَا حَرَجٍ
[1189.68 -> 1196.38]  You can relay, you can report, you can narrate the, you can narrate the reports of Bani Israel
[1196.38 -> 1199.58]  وَلَا حَرَجٍ, there is no blame on you, that you can do so.
[1199.58 -> 1205.28]  Whatever is consistent with the Shari'a, with the text of the Shari'a, with the nafs of the Shari'a.
[1205.28 -> 1208.54]  And he said, sallallahu alayhi wa sallam,
[1208.54 -> 1213.10]  do not believe them to be unequivocally authentic,
[1213.10 -> 1215.40]  nor should you reject them entirely.
[1215.40 -> 1219.04]  So don't believe their reports, all of them.
[1219.04 -> 1220.40]  What do we mean by Israeliyat?
[1220.40 -> 1225.40]  Meaning the reports from the Torah, for example,
[1225.40 -> 1228.08]  from the Torah, yes?
[1228.08 -> 1230.64]  And from the prophets of Bani Israel.
[1230.64 -> 1233.34]  Because they recorded their sayings,
[1233.34 -> 1238.10]  they recorded what was revealed to the Prophets as well.
[1238.10 -> 1242.90]  But obviously over time there is distortion, there is corruption,
[1242.90 -> 1250.22]  there is tampering, but there is still truth.
[1250.22 -> 1256.18]  And that is why the position of Ahlul Sunnah is that you do not,
[1256.18 -> 1261.10]  as Rasulullah ﷺ said, you do not accept them all entirely to be authentic
[1261.10 -> 1264.12]  and the word of Allah and his messengers, previous messengers?
[1264.12 -> 1265.32]  No, do you reject them entirely?
[1265.32 -> 1266.68]  You can't reject them entirely,
[1266.68 -> 1271.20]  because there are divinely revealed texts within them.
[1272.88 -> 1274.88]  Divinely revealed accounts within them.
[1274.88 -> 1279.64]  So one of the Israiliyat reported by Al-Bayhaqi,
[1279.64 -> 1282.20]  radiAllahu anhu wa malikubdun dinar, radiAllahu anhu,
[1282.20 -> 1285.00]  he said, I read in the previous books
[1285.00 -> 1287.32]  that Allahu ta-baraka wa ta-ala, he said,
[1287.32 -> 1290.64]  yabna adam khayri yanzilu ilayk.
[1290.64 -> 1303.44]  O son of Adam, my good, the goodness, my good, my blessings descend upon you and your evil
[1303.44 -> 1319.12]  ascends to me and I seek your love, I seek your love with blessings but you seek my anger
[1319.12 -> 1326.80]  with your sins. So why are we quoting this narration? Because the good only comes from
[1326.80 -> 1333.50]  Allah subhanahu wa ta'ala. And any evil that we see, it's due to what we have done with
[1333.50 -> 1340.36]  our own hands, the actions of our own hands. Because where people attribute it to Allah
[1340.36 -> 1345.66]  subhanahu wa ta'ala, how can you attribute it to Allah? Look to the heavens. Do you see
[1345.66 -> 1354.46]  any flaw do you see any inconsistencies do you see any corruption in the heavens look look to the
[1354.46 -> 1360.46]  stars is there any disorder there is there any chaos there there isn't there's order
[1361.90 -> 1372.14]  there's tranquility there's peace yes look at even jahannam jahannam itself
[1372.14 -> 1381.10]  there is no inconsistency, there is no flaw in it. And why is that? Because there
[1381.10 -> 1386.42]  there's no free will. Allah didn't give any free will over there, but the free
[1386.42 -> 1394.50]  will is here. And Allah subhanahu wa ta'ala challenges us. He says
[1394.50 -> 1400.06]  خلق سبع سماوات امطباقه It is He who created seven heavens one above
[1400.06 -> 1401.06]  the other.
[1401.06 -> 1406.82]  ما ترى في خلق الرحمن من تفاوت You will never see any imperfection in the
[1406.82 -> 1412.10]  creation of the Most Compassionate فرجع البصر هل ترى من فطور
[1412.10 -> 1418.38]  So look again do you see any flaw ثم رجع البصر كرتين ينقلب إليك البصر
[1418.38 -> 1423.14]  خاصئا وهو حسير Then look again and again look at the creation
[1423.14 -> 1431.14]  Look to the heavens, look again and again, look into the far reaches of what you can see so far.
[1431.14 -> 1435.14]  Your sight will return frustrated and weary.
[1435.14 -> 1439.14]  You won't find any inconsistency, you won't find any imperfection.
[1439.14 -> 1444.14]  So the imperfection over here, why do you attribute it to Allah?
[1444.14 -> 1446.14]  Why do you attribute this chaos to Allah?
[1446.14 -> 1457.14]  this chaos is the result of the free will that we asked Allah subhanahu wa ta'ala for.
[1457.14 -> 1464.14]  And so this freedom of will is a very dangerous power.
[1464.14 -> 1471.14]  It's a very powerful tool, but it's also very dangerous, more dangerous than an atomic bomb.
[1471.14 -> 1477.50]  Because if you used an atomic bomb and wiped out everyone in the face of this planet,
[1477.50 -> 1482.42]  then people are still granted a hereafter.
[1482.42 -> 1484.38]  People are still granted a hereafter.
[1484.38 -> 1489.50]  People may die here physically, but they still go on to live.
[1489.50 -> 1496.74]  But you, if you used it in such a manner, you literally go to hellfire.
[1496.74 -> 1510.74]  Such a powerful, such a powerful and even dangerous agency to have that all of the creation turned it down.
[1511.74 -> 1513.74]  All of the creation turned it down.
[1513.74 -> 1522.74]  We have not just alluded, not just referred, but spoken explicitly about this topic again and again.
[1522.74 -> 1526.74]  not for laughs, not because we don't have anything else to talk about
[1526.74 -> 1530.74]  because this frames our very understanding
[1530.74 -> 1534.74]  of how, this frames our understanding of what our
[1534.74 -> 1538.74]  relationship is with this world, what our relationship is with Allah SWT
[1538.74 -> 1542.74]  what the reality of this world is, that the freedom
[1542.74 -> 1546.74]  of will that Allah offered to all the creation, all the creation
[1546.74 -> 1550.74]  Jibril A.S, he turned it down, Jibril A.S
[1550.74 -> 1557.10]  who's the mightiest of the angels who if who when he spread one wing the Rasul
[1557.10 -> 1561.86]  sallallahu alaihi wasallam said when he spread one wing of 600 wings it filled
[1561.86 -> 1565.30]  the entire horizon east and the west and the Rasul sallallahu alaihi wasallam couldn't see anything
[1565.30 -> 1570.74]  when he appeared Rasul sallallahu alaihi wasallam said or that two times Jibreel
[1570.74 -> 1577.06]  appeared in his natural form first where during the announcement of
[1577.06 -> 1580.58]  prophethood at the beginning of the announcement of prophethood the Rasul
[1580.58 -> 1586.30]  sallallahu alaihi wasallam he saw Jibreel on a throne in the sky and he
[1586.30 -> 1591.34]  had unfurled a wing that had filled the horizon and the Rasul sallallahu alaihi wasallam
[1591.34 -> 1599.50]  almost fainted when he saw him and he would say ya Muhammad ana Jibreel
[1599.50 -> 1604.70]  oh Muhammad I am Jibreel wa anta Rasulullah and you are the messenger of Allah
[1604.70 -> 1610.54]  announcing to him the prophethood and then the second time during Al-Isra' and Al-Miraj.
[1610.54 -> 1617.26]  So, or the Miraj itself. So, Jibril A.S. turned it down, the mountains turned it down, they said
[1618.38 -> 1624.94]  we don't want this, we don't want this freedom of will, we don't want the responsibility because
[1624.94 -> 1633.50]  if you have this privilege, if you have the ability to choose literally to make a choice
[1633.50 -> 1641.58]  between good and bad there are consequences what's the consequence of choosing good Allah's pleasure
[1641.58 -> 1647.02]  and gardens the width of which are greater and more expensive than the heavens and the earth
[1647.58 -> 1653.98]  and kingdoms that are never ending but what's the consequence of choosing bad with that free will
[1655.42 -> 1662.70]  what's the consequence of rather than rather than buying you steal the consequence of rather
[1662.70 -> 1667.42]  than marrying you commit Zina. The consequence of rather than doing trade you, you earn through
[1667.42 -> 1675.66]  usury and interest. What's the consequence of lying instead of speaking the truth?
[1675.66 -> 1679.98]  Revealing your body instead of covering your modesty. What's the consequence? There are
[1679.98 -> 1686.54]  consequences to everything. And so yes, you have the freedom. Everyone has that freedom.
[1687.18 -> 1692.38]  The freedom as I was telling my son on the way here. Yes, that man has the freedom to wear a belly
[1692.38 -> 1700.66]  top and wear lipstick on in public no one's ban on it but there are consequences
[1700.66 -> 1707.94]  yes you have the freedom but you also there are also consequences so where
[1707.94 -> 1713.06]  are those people who question the this question this and have a deviant
[1713.06 -> 1720.38]  understanding of of destiny of destiny and they question these things Allah
[1720.38 -> 1725.70]  Allah subhanahu wa ta'ala didn't give freedom to anybody who didn't want it.
[1725.70 -> 1730.22]  Be very clear, Allah subhanahu wa ta'ala didn't give freedom to anybody who didn't want it.
[1730.22 -> 1736.50]  He only gave it to the creation that accepted it and said that we will bear this trust,
[1736.50 -> 1741.78]  we will bear this emana, the freedom of will, we'll bear this emana and we'll do right
[1741.78 -> 1742.78]  by it.
[1742.78 -> 1747.90]  And so this world we came down, Allah subhanahu wa ta'ala brought us down in order to test
[1747.90 -> 1760.32]  that claim, in order to test that claim. Now, as we said, the result meaning the consequences,
[1760.32 -> 1769.00]  the consequences of actions are the creation of Allah. But Allah did not Allah did not
[1769.00 -> 1775.60]  compel anyone to perform those actions. So for example, if you go into an exam and you
[1775.60 -> 1780.90]  do poorly and then your your teacher gives you a bad mark it's not the
[1780.90 -> 1786.54]  teacher who failed you it was you who failed yourself and so what we see
[1786.54 -> 1790.66]  around us today and we will continue to see don't think that this is some kind
[1790.66 -> 1795.66]  of like anomaly in human human history no it isn't the the massacre of the
[1795.66 -> 1799.78]  Palestinian people is not an anomaly in human history there are massacres that
[1799.78 -> 1807.46]  go that that are perpetrated all the time maybe there's no media coverage maybe those lives are
[1807.46 -> 1815.06]  considered to be cheaper in that region of the world no one cares about yes the the the bakali
[1815.06 -> 1821.70]  or whatever you know some people call an entire an entire country the armpit of a continent those
[1821.70 -> 1829.14]  are human beings who allah has honored by them being human beings and you uh derive them in such
[1829.14 -> 1836.26]  such a manner and hold them in such contempt and so the result then of what
[1836.26 -> 1844.02]  we do is what we see is what we see around us but it is not it is not because
[1844.02 -> 1847.34]  of Allah it's because of us so Allah said
[1847.34 -> 1851.86]  ظهر الفساد في البر و البحر بما كسبت أيدي الناس
[1851.86 -> 1866.86]  Why? Allah said, Fasad, evil, chaos, destruction, disturbance, corruption has appeared on the land and the sea due to what people have earned, the hands of people have earned.
[1866.86 -> 1870.86]  But why? Why did Allah make those consequences?
[1870.86 -> 1874.38]  لِيُذِيقَهُمْ بَعْضَ الَّذِي عَمِلُونَ
[1874.38 -> 1879.98]  So that he can make them taste the consequences of just some of what they have done
[1879.98 -> 1881.58]  بَعْضَ الَّذِي عَمِلُونَ
[1881.58 -> 1883.98]  Not كلَّ الَّذِي عَمِلُونَ
[1883.98 -> 1895.18]  Allah didn't say so that they may taste the fruit of their labor so that they may bear the consequences of their actions in their entirety
[1895.18 -> 1897.02]  No, he said بَعْضَ الَّذِي عَمِلُونَ
[1897.02 -> 1903.50]  so they may bear some of the consequences of what they have done because if Allah
[1903.50 -> 1909.02]  Subhanahu wa ta'ala were to hold us accountable meaning to punish us
[1909.02 -> 1914.42]  immediately for our deeds nothing would remain on the face of this planet
[1914.42 -> 1917.38]  because he said jalla jalaluhu
[1917.38 -> 1923.02]  وَلَوْ يُؤَاخِذُ اللَّهُ الْنَاسَ بِمَا كَسَبُوا مَا تَرَكَ عَلَى ظَهْرِهَ مِنْ دَبَّةٍ
[1923.02 -> 1932.62]  And if Allah were to hold people accountable for what they have done, for what they have earned,
[1932.62 -> 1934.62]  مَا تَرَكَ عَلَى ظَهْرِهَ مِنْ دَبَّ
[1934.62 -> 1943.82]  He would not leave on the face of this planet a dabba, a living being, not even a single living being.
[1943.82 -> 1950.62]  Why? Because even the animals, there's justice that is established between them and the hereafter.
[1950.62 -> 1959.12]  Yes, the animals, they don't have a Sharia like we do, but they have a system and Allah will hold them accountable according to that system.
[1959.12 -> 1974.92]  And therefore the Rasul Sallallahu Alaihi Wasallam said that on the Day of Judgment, Allah will bring a horned goat that rammed into an unhorned goat and give compensation to the unhorned goat.
[1974.92 -> 1982.84]  Allah said there is no oppression today because who has the power to enforce
[1982.84 -> 1992.84]  absolute justice Allah no one but him on earth Allah does not enforce absolute justice
[1994.60 -> 2004.20]  on earth Allah has given us the free will for us to establish justice within our means and within
[2004.20 -> 2007.56]  in our capacity, then we are held accountable for it.
[2007.56 -> 2008.64]  Not because Allah subhanahu wa ta'ala
[2008.64 -> 2010.84]  can't establish justice here.
[2010.84 -> 2012.20]  He said on the day of judgment,
[2012.20 -> 2013.50]  laa zulma liyaum.
[2013.50 -> 2015.04]  There's no oppression today.
[2015.04 -> 2016.48]  There's no tyranny today.
[2016.48 -> 2018.48]  There's no wrongdoing today.
[2018.48 -> 2019.32]  Not at all.
[2020.76 -> 2022.76]  So where is there zulm?
[2022.76 -> 2024.12]  Here.
[2024.12 -> 2027.32]  And who is the cause of that zulm?
[2027.32 -> 2028.40]  Us.
[2028.40 -> 2029.74]  And why do we,
[2031.20 -> 2033.16]  why do we practice zulm?
[2033.16 -> 2034.78]  because we have the ability to,
[2034.78 -> 2036.98]  because we have freedom of will.
[2036.98 -> 2038.70]  Why do we have freedom of will?
[2038.70 -> 2040.32]  Because we chose it.
[2040.32 -> 2041.16]  We said to Allah,
[2041.16 -> 2042.74]  yes, we'll take the Amana
[2042.74 -> 2045.34]  so we can go to heaven when we use it well.
[2045.34 -> 2046.18]  So Allah SWT said,
[2046.18 -> 2048.94]  all right, I want a million pound
[2048.94 -> 2050.02]  and if you give me a million pound,
[2050.02 -> 2051.26]  I'm gonna spend it wisely.
[2051.26 -> 2053.42]  All right, here's a million pound, show me.
[2054.70 -> 2055.58]  You can invest it well,
[2055.58 -> 2057.30]  you can pay, spend on charities
[2057.30 -> 2060.22]  and invest in people and environment, et cetera.
[2060.22 -> 2061.34]  Or you can go blow on drugs
[2061.34 -> 2068.74]  you know, go to Vegas one weekend it will go. So yes, Ya Rabbul A'lamin, we'll take
[2068.74 -> 2074.58]  the freedom of will and we'll use it well, okay? That's your choice now. Here it is,
[2074.58 -> 2080.02]  now show me what you're going to do with it. And so Allah subhanahu wa ta'ala, He doesn't
[2080.02 -> 2088.62]  hold us accountable in this world. What we see is just a little taste why Allah subhanahu
[2088.62 -> 2091.42]  He created consequences, why?
[2091.42 -> 2094.42]  He said...
[2094.42 -> 2096.02]  So that's the first why.
[2096.02 -> 2097.62]  Why are there consequences?
[2097.62 -> 2101.62]  So we can taste, so we can experience
[2101.62 -> 2104.82]  just some of the consequences of what we do.
[2104.82 -> 2106.62]  But there's a why to that as well.
[2106.62 -> 2108.42]  لَعَلَّهُمْ يَرْدِعُونَ
[2108.42 -> 2112.02]  So that they may turn back to Allah.
[2112.02 -> 2115.02]  So that they may turn back to Allah.
[2115.02 -> 2121.22]  Because if I see, if I see the harmful effects of my actions,
[2121.22 -> 2127.50]  I adjust my course back to Allah SWT.
[2127.50 -> 2131.10]  If I see good, so people ask, all right,
[2131.10 -> 2133.58]  well, why are there some people punished in this world
[2133.58 -> 2137.54]  and why are some people rewarded in this world, in this life?
[2137.54 -> 2142.66]  Yes, this world, this life is not for absolute punishment.
[2142.66 -> 2144.90]  Absolute punishment is in the hereafter.
[2144.90 -> 2151.14]  Nor is there absolute reward in the dunya, only absolute reward is in the Akhirah.
[2151.14 -> 2156.06]  So why do we see some punishment and some... why do we see...
[2156.06 -> 2159.42]  Why do we see some of what... the consequences of just...
[2159.42 -> 2161.34]  just some of the consequences of what we do?
[2161.34 -> 2163.14]  So that we may return.
[2163.14 -> 2166.50]  And isn't that what the bulk of the Qur'an is?
[2166.50 -> 2171.94]  A great part of the Qur'an is the stories of the pious and the righteous and their reward.
[2171.94 -> 2173.34]  Why?
[2173.34 -> 2174.78]  So that you may return.
[2174.78 -> 2177.10]  So you say, oh, I want that, and you turn to Allah.
[2177.10 -> 2181.18]  Why do we see in the Qur'an stories of the wretched, the sinners,
[2181.18 -> 2184.18]  and the hypocrites, and the kuffar, and the consequences?
[2184.18 -> 2189.26]  Yes, so that we can turn to Allah subhanahu wa ta'ala.
[2189.26 -> 2192.02]  Because it's not just,
[2192.02 -> 2193.18]  لَعَلَّهُمْ يَرْجِعُونَ
[2193.18 -> 2196.06]  so that they may return, it's just due to fasad.
[2196.06 -> 2199.50]  It's also due to salah as well, to piety.
