[0.00 -> 2.06]  you
[1053.46 -> 1062.02]  that the Rasul sallallahu alayhi wasallam his function is not just to be the seal of the prophets
[1062.02 -> 1069.78]  but he is the leader of the prophets the one whom allahu subhanahu wa ta'ala made the guide
[1069.78 -> 1077.22]  for all of mankind before mankind even physically existed in the world of spirit when allahu
[1077.22 -> 1097.34]  We know of this scene when after Allah presented the amana, the trust, the free will to all
[1097.34 -> 1103.50]  of the creation and all of the creation turned it down.
[1103.50 -> 1111.32]  They all feared this responsibility and said, we are happy to worship you.
[1111.32 -> 1118.92]  We are happy to surrender to you without any will of our own.
[1118.92 -> 1120.00]  We're happy just as we are.
[1120.00 -> 1121.32]  We don't want to risk it.
[1121.32 -> 1127.56]  We don't want to have the choice in the matter.
[1127.56 -> 1130.20]  We are pleased as we are.
[1130.20 -> 1134.16]  two creations, mankind and the jinn said, we can do it, we can
[1134.16 -> 1140.36]  bear this responsibility. And we will, and we will discharge our
[1140.36 -> 1145.28]  duty in a way that will please Allah. And so Allah subhanahu
[1145.28 -> 1150.56]  wa ta'ala then said, Okay, here now is the test is the testing
[1150.56 -> 1157.24]  ground. And Allah brought down all of the spirits down on
[1157.24 -> 1163.52]  and said to them here this is your this is where you will live a temporary life
[1163.52 -> 1169.04]  where I will test your free will which you have accepted I did not force it on
[1169.04 -> 1176.60]  you Allah did not force free will on us we chose it for ourselves and as the
[1176.60 -> 1187.24]  the Mashaikh and Ma'arifeen were asked, did any human beings say, we don't want it? And
[1187.24 -> 1190.80]  the answer is, yes, there were human beings who said, we don't want this trust. And they
[1190.80 -> 1199.64]  are the people whom the pen is lifted for. When you see people who are mentally impaired,
[1199.64 -> 1204.24]  unable to make sound judgments, they made the best judgment, actually, that they said
[1204.24 -> 1211.00]  And the best decision so that I mean like all other creation the angels the mountains the heavens the earth
[1211.20 -> 1215.36]  We can't bear it. So what's gonna tell us bed, but you are part of this
[1215.88 -> 1222.84]  group of creation so I will put you on earth and you will be like everything else a test and
[1223.96 -> 1227.80]  so we chose this free will and then
[1228.48 -> 1232.64]  In the mountain in the plane of our offer Allah Subhanahu wa ta'ala
[1234.24 -> 1236.24]  Like before you enter an exam
[1237.28 -> 1245.10]  What does what does the teacher do a responsible teacher a loving teacher a merciful teacher a kind teacher
[1245.40 -> 1252.00]  Up until the point you enter the exam the teachers going through notes with you going through revision
[1253.36 -> 1257.64]  Going through revision notes and exam preparation and remember this and remember that
[1257.64 -> 1261.16]  Allah subhanahu wa ta'ala before he put us on earth, he said
[1261.16 -> 1265.32]  Alastu bi rabbikum, am I not your Lord? I'm reminding you now
[1265.32 -> 1268.44]  before you go into the exam, who's your Lord?
[1268.44 -> 1272.68]  Am I not your Lord? Halu bala, all of the creation said
[1272.68 -> 1278.60]  yes, but that was only after the Rasul sallallahu alayhi wasallam
[1278.60 -> 1282.52]  led all of the spirits to say bala shahidina
[1282.52 -> 1287.00]  yes we witness oh Allah that you are our Lord
[1287.00 -> 1294.84]  and so guidance from the world of spirits and also all of mankind
[1294.84 -> 1299.64]  following the rasul sallallahu alaihi wasallam in that world
[1299.64 -> 1304.76]  the world of spirits or when actually here down here on earth but in spirit form
[1304.76 -> 1311.00]  when allahu subhanahu wa ta'ala he told all of the prophets
[1311.00 -> 1312.24]  Allah subhanahu wa ta'ala says,
[1312.24 -> 1316.92]  وَإِذْ أَخَذَ اللَّهُمْ إِثَاقَ النَّبِيهِينَ لَمَا آتَيْتُكُمْ مِّنْ كِتَابٍ وَحِكْمَةٍ
[1316.92 -> 1319.76]  ثُمَّ جَاءَكُمْ رَسُولٌ مُصَدِّقٌ لِمَا مَعْكُمْ
[1319.76 -> 1322.16]  لَتُؤْمِنُونَّ بِهِ وَلَتَنْصُرُونَّ
[1322.16 -> 1326.28]  Allah Jalla Jalaluhu took a pledge from the prophets saying,
[1326.28 -> 1332.96]  if after I have bestowed and given you the book, scripture and wisdom,
[1332.96 -> 1336.84]  and then a messenger comes confirming what you have,
[1336.84 -> 1343.72]  confirming what you have been given from scripture and wisdom you must believe in him and support him
[1348.12 -> 1356.28]  do you affirm and accept this pledge of binding on you allah is saying to all of the prophets
[1356.28 -> 1363.72]  there on the plane of arafat if this prophet muhammad appears in your time
[1363.72 -> 1371.20]  will you believe in him and will you support him and do you accept this as a
[1371.20 -> 1380.96]  binding pledge then they all said we we do we accept this as a binding pledge
[1380.96 -> 1389.28]  Allah said then bear witness and I too will bear witness so all of the
[1389.28 -> 1395.12]  prophets with their nations as well because they represented their nations
[1395.12 -> 1400.76]  all of the prophets all of mankind said yes oh Allah if the prophet Muhammad
[1400.76 -> 1404.80]  sallallahu alaihi wasallam appears in our time then we will follow him we will
[1404.80 -> 1410.68]  support him we will give him victory so for those who say I wish I lived in the
[1410.68 -> 1415.08]  time of the Rasulullah sallallahu alaihi wasallam oh how I wish I was one of the companions and I
[1415.08 -> 1418.40]  would have supported the Rasulullah sallallahu alaihi wasallam I would have fought by his
[1418.40 -> 1423.36]  side i would have defended him with my life and with my honor and with my wealth and everything
[1424.08 -> 1430.64]  yes well the rasul sallallahu alaihi wasallam you did give him bayah you did give that promise
[1431.44 -> 1439.28]  and you still have to discharge of your duty to believe in him and to support him and so in this
[1439.28 -> 1447.48]  blessed month of Rabi' Al-Awwal and when we say blessed month, Allah Jalla Jalaluhu, He
[1447.48 -> 1456.32]  blesses certain times of the year. Now time is a creation, time is a creation
[1456.32 -> 1460.88]  like anything else. Allah SWT is not bound by it, He's not restricted by it.
[1460.88 -> 1467.20]  Allah SWT, He created time and He gave special
[1467.20 -> 1475.84]  virtuous to certain points in time by the way all time is virtuous there is no such thing as a time
[1475.84 -> 1480.96]  that is not virtuous because people say no that's not true not all time is virtuous you're saying
[1480.96 -> 1488.08]  that there is time that is opposite then it's uh it there's no blessing in that time where did
[1488.08 -> 1494.16]  you get that from no all it means is that there are some times more virtuous more blessed more
[1494.16 -> 1502.00]  favored by Allah than other times but it's all blessed it's all virtuous the land as well
[1503.04 -> 1510.56]  the earth Allah blesses certain plots and places on earth over others but all of the earth is
[1510.56 -> 1521.36]  blessed apart from the the the specific exceptions where Allah has cursed the people and so what does
[1521.36 -> 1528.48]  that what does that tell us that time and and and space space all of not just
[1528.48 -> 1535.04]  the earth everything the blessing is by virtue of individuals is by virtue of
[1535.04 -> 1544.16]  certain personalities who occupied that place who occupied that space yes and so
[1544.16 -> 1550.04]  the Rasul sallallahu alaihi wasallam when they passed by the earth the mood when they
[1550.04 -> 1555.24]  passed the the the the Prophet ﷺ and the people of and the Fikanians they
[1555.24 -> 1562.24]  passed by the ruins of the nation of Thamud and so he said sallallahu alayhi
[1562.24 -> 1571.00]  wa sallam hasten for you are passing through a land where Allah cursed those
[1571.00 -> 1579.92]  people he destroyed those people cry and if you can't cry induce your tears
[1579.92 -> 1592.92]  And pour out any water that you took from me. Don't take any water from here. What does that tell you it tells you that this place is a cursed place because of the cursed people.
[1592.92 -> 1602.92]  And then there are places that are blessed. Why, because of the blessed individuals who occupied those places too.
[1602.92 -> 1611.52]  And so time as well, time is only blessed by virtue of those individuals.
[1611.52 -> 1618.40]  So going back to the statement that we said, the blessed month of Rabi'ul Awal is only
[1618.40 -> 1626.16]  blessed due to the coming of the greatest light Allah has created, the messenger and
[1626.16 -> 1632.80]  the most beloved Muhammad, it is by virtue of him that the month is blessed, it is by
[1632.80 -> 1636.20]  By virtue of him that the month has significance and not the
[1636.20 -> 1639.60]  other way around and not the other way around. It is
[1639.60 -> 1643.00]  personalities, it is individual prophets and Awliya. These are
[1643.00 -> 1646.70]  the people who blessed places and they are again, as we said
[1646.70 -> 1650.00]  right in the beginning, they are the means, they are the means
[1650.10 -> 1654.50]  through them, Allah subhanahu wa ta'ala grants blessing, but
[1654.50 -> 1657.70]  in and of themselves inherently, like all the creation, they
[1657.70 -> 1666.58]  have no howl, no ability, no power, except through Allah, subhanahu wa ta'ala, al-Aliyyul
[1666.58 -> 1677.86]  Azim. And so, in this blessed month of Rabi'ul Awal, the Rasul salallahu alayhi wa sallam
[1677.86 -> 1682.06]  came into physical existence into this world.
[1682.06 -> 1687.06]  And many people, they eagerly anticipate
[1689.72 -> 1693.38]  the coming of this month to read the seerah
[1693.38 -> 1695.40]  of the Rasul Sallallahu Alaihi Wasallam,
[1695.40 -> 1699.42]  to read the Shamail of the Rasul Sallallahu Alaihi Wasallam,
[1699.42 -> 1701.86]  to learn about his life Sallallahu Alaihi Wasallam,
[1701.86 -> 1704.62]  to learn about his way, his character.
[1704.62 -> 1707.90]  And many people long for the gatherings of
[1707.90 -> 1712.26]  salawat and durood and nasheed and dhikr.
[1712.26 -> 1713.14]  And this is all good.
[1713.14 -> 1716.54]  And these are all sentiments of love
[1716.54 -> 1721.54]  that come first of all, they are all within the sunnah,
[1724.78 -> 1727.18]  as well as the Rasul Sallallahu Alaihi Wasallam
[1727.18 -> 1730.30]  celebrated his own birth by fasting on that day.
[1730.30 -> 1734.18]  And the companions wanted to commemorate his birth
[1734.18 -> 1744.42]  making it the star of the calendar for themselves. So not only is it within the Sharia, but it is
[1744.42 -> 1752.34]  also a beautiful sentiment of love from the people. But what does this month, what should this month
[1752.34 -> 1760.98]  really do to us? Many people treat this month like any other season. We said Allah blesses time,
[1760.98 -> 1770.66]  Ramadan is a blessed month. Dhul Hijjah is a blessed month and has the best days, the first 10 days.
[1770.66 -> 1780.42]  Ashura in the month of Muharram, the 10th of Muharram, is a blessed day and Rajab is a blessed month and
[1780.42 -> 1787.62]  Sha'ban is a blessed month. The whole year has seasons but many of us enter the season and leave
[1787.62 -> 1795.54]  without any change or enter the season and like for example it's like most of us
[1796.50 -> 1802.58]  i mean i'd say pretty much all of us are under 40 right we've been taught how to pass exams not
[1802.58 -> 1810.02]  how to master the subject isn't that true yes and so what do we do when it when we approach exam
[1810.02 -> 1817.22]  season we cram and we cram and we cram and then we just then we just regurgitate it all onto an
[1817.22 -> 1823.14]  exam paper and then forget it all yes and this is how we treat ramadan
[1823.14 -> 1826.66]  this is how we treat this is how we treat omra
[1826.66 -> 1830.50]  this is how we treat hajj this is how we treat atikas
[1830.50 -> 1834.18]  we cram and we cram and we cram but for what
[1834.18 -> 1837.94]  because i just want a tick in the box afterwards
[1837.94 -> 1847.14]  but i did this i did this i was there yes but how does it change us
[1847.14 -> 1849.90]  That's the reality. I'm the first person to admit. Oh
[1851.18 -> 1853.26]  Crown for an exam and come out
[1853.90 -> 1859.06]  One day later not one year one day later. I've forgotten the whole subject
[1859.66 -> 1860.98]  Yes
[1860.98 -> 1866.82]  Because unlike our parents who were taught to master their subjects to become experts
[1867.18 -> 1870.46]  Yes, we were taught how to just pass the exam
[1871.38 -> 1876.86]  Nail the exam, but don't nail the subject do that later you could you could don't nail the subject
[1877.14 -> 1881.10]  Because it's just your exam is it's a stepping stone. You're
[1881.10 -> 1883.42]  gonna you're gonna study science. Yeah, but you're gonna
[1883.42 -> 1887.46]  go do banking afterwards. So what's the point? Right? Just
[1887.46 -> 1890.70]  show them that you're competent, you know, writing papers and
[1890.70 -> 1895.10]  whatever. But last panel Tyler, he didn't make these months, he
[1895.10 -> 1901.42]  didn't make these years for us to just cram. We are supposed to
[1901.42 -> 1905.26]  make them transformative. And so what is it that we should be
[1905.26 -> 1909.40]  doing in the month of Rabiul Awl? Yes, very well and good.
[1909.48 -> 1914.32]  It's not it's not an obligation for us. But it is recommended
[1914.56 -> 1917.62]  that you attend gatherings where the seerah is recited, the
[1917.62 -> 1923.72]  Shamaila are read, that salawat are salawat are made in a
[1923.72 -> 1927.32]  group and individually and every single way all of that is
[1927.32 -> 1932.38]  recommended and all of that is pleasing to Allah SWT. Yes, but
[1932.38 -> 1938.46]  what should that be an impetus for? It should be for us. It
[1938.46 -> 1941.98]  should be for us to transform. And so how do we transform
[1941.98 -> 1946.06]  ourselves in the month of Rabi'ul Awl? You see, dear
[1946.06 -> 1948.78]  brothers and sisters, the Sunnah of the Rasul Sallallahu
[1948.78 -> 1954.14]  Alaihi Wasallam, his guidance, everything that he did, Sallallahu
[1954.14 -> 1959.38]  Alaihi Wasallam, right, is like, is like a diamond. Can you
[1959.38 -> 1965.58]  imagine that somebody offers you somebody offers you not just a bag of
[1965.58 -> 1973.38]  diamonds but somebody offers you somebody offers you a diamond mine yes
[1973.38 -> 1979.66]  that you can go in there and you can take whatever you like there is a
[1979.66 -> 1988.06]  treasure chest full of diamonds full of gems full of rubies full of all emeralds
[1988.06 -> 1996.22]  and all amazing gems and that you can take and you can benefit from you benefit yourself you can
[1996.22 -> 2001.66]  afford to buy a nice house nice partner and then and then the people around you benefit the sunnah
[2001.66 -> 2007.66]  of the rasul sallallahu alaihi wasallam is far greater than that each sunnah of the rasul sallallahu
[2007.66 -> 2017.18]  alaihi wasallam from how he spoke to how he ate to how he slept the condition he is before sleeping
[2017.18 -> 2024.14]  to sleep in wudu that his head that his feet are not directed towards the qiblah that he
[2024.14 -> 2033.82]  starts his sleep on his right side yes that he recites al-fatiha and ayat al-kursi and three
[2033.82 -> 2042.22]  quls three times and wipes over himself these are as you know as we've been taught these are like
[2042.22 -> 2046.70]  easy sunnahs, but there's something about us that we want to go hard or go home.
[2047.34 -> 2053.50]  I'm only going to do the big sunnahs. I'm only going to do the big sunnahs. I'm going to do the
[2053.50 -> 2058.14]  big sunnahs. I'm going to go to Mecca and I'm going to do one month over there, Arabic intensive.
[2058.14 -> 2066.94]  I'm going to do tajweed or qiraat intensive, right? But in between lacking. And that's why
[2066.94 -> 2073.66]  we that's why we just jump from one thing to another and so what does this what should we be
[2073.66 -> 2079.82]  doing within this month we should this month which in which the rasul sallallahu alayhi was born
[2079.82 -> 2089.34]  we should become born into the sunnah of the rasul sallallahu alayhi look at the newborn yes
[2089.34 -> 2094.42]  Yes, among us are people who've been blessed with with with
[2094.42 -> 2098.42]  newborns recently, and soon a number of our sisters as well
[2098.42 -> 2101.62]  inshallah will have newborns they're expecting. Look at the
[2101.62 -> 2107.62]  newborn, the newborn. After even a month, you will see the
[2107.62 -> 2112.70]  newborn mimicking the parents facial expressions. And with
[2112.70 -> 2116.94]  time, they mimic their mannerisms, their behavior, the
[2116.94 -> 2122.70]  tone of their voice, everything. And so, rather than it being
[2122.74 -> 2128.14]  Ali, because the newborn learns gradually, we too should be
[2128.16 -> 2131.18]  embodying different Sunnahs of the Rasul sallallahu alaihi
[2131.18 -> 2138.66]  wasallam, gradually, to say this month, I will, I will adopt a
[2138.66 -> 2142.06]  Sunnah that I have not adopted that I have, because by the
[2142.06 -> 2145.06]  way, if we don't adopt the Sunnah, what that means is that
[2145.06 -> 2159.38]  we have abandoned. Because it's either the Sunnah is either abandoned. Yes, Sunnah mahjoora. Mahjoora means abandoned, neglected. Yes, almost
[2159.38 -> 2169.66]  disowned. Right? And people say, it's just a Sunnah. What does akhiya nukhti mean? It's just a Sunnah. It means it's not important to me. But if it wasn't
[2169.66 -> 2179.86]  important. And so we should take a Sunnah and, and adopt it
[2179.86 -> 2183.50]  during this month, and make a firm intention to adopt this.
[2183.86 -> 2188.74]  But if we think that we can cram it all in that is like saying,
[2188.86 -> 2192.26]  taking a newborn and trying to feed the newborn and adults.
[2193.30 -> 2197.90]  It's not possible. It's not possible. It's good, isn't it?
[2197.90 -> 2204.86]  nutritious but it's not good for the child right and so progression is needed in everything and
[2204.86 -> 2213.50]  that's why here in uh in our center or in and uh the the course that we teach as part of sacred
[2213.50 -> 2217.98]  compass and prophetic path as you can see over here one of the posters i don't know which one
[2219.34 -> 2226.86]  we teach this course of purification where you can embody these sunnahs one after the other after
[2226.86 -> 2235.10]  the other and how is that that you for example say you want to say like there are sunnahs that
[2235.10 -> 2241.90]  people find difficult one of them is like sleeping with wooden now you go to bed
[2243.10 -> 2248.62]  you're getting ready for bed and normally what is the routine people go on the call of nature
[2248.62 -> 2253.50]  brush their teeth and then they get into bed and at the end of the day they're spent they just want
[2253.50 -> 2259.66]  want to sleep and then say ah I've got to get up I've got to do all that in and of itself
[2260.86 -> 2265.26]  there's there's there's struggle there's difficulty why because a person isn't used to it
[2266.38 -> 2270.06]  because a person has never done it before or when they've done it they've only ever done it
[2270.06 -> 2279.82]  sporadically so then getting up to do it yes will be a little difficult right to do all and then to
[2279.82 -> 2287.18]  get back into bed that's that can be difficult all right but like any muscle that you train
[2287.82 -> 2295.66]  the more repetitions that you do that you uh that you uh execute right the stronger the muscle
[2295.66 -> 2301.66]  becomes and so what do you do the the first time you do it will be difficult then the second time
[2301.66 -> 2305.98]  you do it it will be less difficult and the third will be less difficult and then if you do it for
[2305.98 -> 2310.74]  for example, for a month, if you do it for a month consistently,
[2311.02 -> 2316.10]  then it's become installed. You know, as we said, people like
[2316.10 -> 2319.82]  in the month of Rabi' Al Awal, and this is really like the
[2319.82 -> 2323.98]  practice of the majority of the Ummah, Alhamdulillah, to learn
[2323.98 -> 2327.18]  the Seerah, to learn Shana'il. But what does that do that adds
[2327.18 -> 2329.86]  to our information and knowledge? But how do we take
[2329.86 -> 2333.90]  that information and knowledge? Yes, from the conscious mind,
[2333.90 -> 2337.90]  which is what we we know consciously to the subconscious mind meaning
[2337.90 -> 2342.54]  to install it and to make it part of our character that transfer
[2342.54 -> 2346.54]  from knowledge to practice is this process
[2346.54 -> 2351.42]  this process you see purification there is purification and beautification
[2351.42 -> 2355.34]  the sunnah of the rasul sallallahu alaihi wa sallam is that beautification
[2355.34 -> 2359.18]  right and what you do every time you add a sunnah
[2359.18 -> 2365.82]  it removes something that is it will naturally remove its opposite because you're replacing it
[2366.46 -> 2371.90]  right because there's not enough you know they say in those old cowboy movies this town ain't
[2371.90 -> 2379.10]  big enough for the two of us well the heart is not big enough for sunnah for the traits of the
[2379.10 -> 2382.54]  rasool sallallahu alaihi wasallam qualities of the qualities of shaytan it's not big enough
[2382.54 -> 2391.98]  Allah has not made for a man, a woman, of course, as well, a has not placed two hearts
[2391.98 -> 2394.42]  in their chest.
[2394.42 -> 2396.78]  So there's only space for one.
[2396.78 -> 2405.06]  So one of the methods of one of the methods of helping yourself remove evil traits, shaytanic
[2405.06 -> 2412.52]  traits is to replace them as you know, smokers, you know, they're used to holding something
[2412.52 -> 2415.52]  between their fingers, right? Or if they're a bit street between
[2415.52 -> 2419.16]  their, their thumb and their index finger, okay, and smoking,
[2419.16 -> 2422.32]  they have to put something close their mouth and, and inhale,
[2422.36 -> 2425.48]  they're used to it. And so behavioral psychologists, what
[2425.48 -> 2430.28]  they tell them to do, replace it with something, right? Vapes is
[2430.40 -> 2433.72]  a bridge. It's a bridge. But the problem is that vaping has
[2433.72 -> 2437.52]  become another addiction in and of itself. Some of them still
[2437.52 -> 2441.24]  have chocolate, they have a sweet, if they're more health
[2441.24 -> 2444.12]  conscious, a carrot to chew on or something, something to
[2444.12 -> 2449.44]  replace that habit, to replace that habit, which is less
[2449.48 -> 2453.96]  harmful, less damaging. Yes, but what would be even better than
[2453.96 -> 2456.72]  it being less damaging that it's beneficial. And that's what
[2456.72 -> 2463.60]  this one is. Right. And so the month of Rabi' Al Awal, we
[2463.60 -> 2468.00]  cannot treat it like any other month of the year, we cannot
[2468.00 -> 2472.84]  treat it like, and we cannot continue this trend of I go into
