[0.00 -> 9.00]  Allah is All-Knowing, All-Wise.
[990.40 -> 999.60]  a year or so they came and completed the pilgrimage. But still the companions were devastated
[1000.56 -> 1005.40]  That they made all this way and it doesn't maybe for us to go Hajj or Umrah
[1005.40 -> 1008.08]  It takes a couple of hours on flights
[1008.72 -> 1010.72]  by two days weeks
[1012.40 -> 1014.40]  To travel
[1014.52 -> 1019.72]  To these places to go to one place to other in order to do the pilgrimage
[1021.00 -> 1026.92]  Now they were you can say disappointed but as it was announced Allah revealed to them
[1027.52 -> 1029.60]  That they have become victorious
[1030.56 -> 1037.70]  even though they did not perform the pilgrimage they were victorious and the
[1037.70 -> 1045.54]  victory one of the victory is that they stood by the command of Allah as well
[1045.54 -> 1051.98]  gel that they carried on with the mission and stayed with the Prophet
[1051.98 -> 1059.54]  sallallahu alaihi wasallam they were loyal loyalty they did not say no we're
[1059.54 -> 1067.46]  going to come or you know you have disappointed us you have they did not lose their faith even
[1067.46 -> 1075.38]  though physically they did not achieve or physically do the pilgrimage they were still
[1075.38 -> 1084.02]  successful at the end. What to say about Karbala? The Battle of Karbala was when Imam Hussain
[1084.02 -> 1092.90]  they had the battle. Physically people were seeing that the Imam Hussain lost the battle.
[1094.34 -> 1104.98]  All the family were killed except for Sayyidina Zainul Abideen, the last blood line of the
[1104.98 -> 1112.42]  Prophet Sallallahu Alaihi Wasallam. So everyone was martyred, people were thinking they were victory
[1114.02 -> 1121.06]  but you know the victory came afterwards, the victory of paradise,
[1121.06 -> 1126.26]  the victory of to be with the Prophet Sallallahu Alaihi Wasallam.
[1126.26 -> 1130.18]  When they were seeing, Karbala we usually mention
[1130.18 -> 1135.94]  when Imam Hussain Radhan and the companions, when they were seeing
[1135.94 -> 1141.06]  the sword of Yazid was coming, the army was coming,
[1141.06 -> 1145.78]  they were not seeing the sword but they were seen as though arms of the
[1145.78 -> 1148.34]  Prophet Sallallahu Alaihi Wasallam coming towards them
[1148.34 -> 1152.18]  it as though they were embracing the sword
[1152.18 -> 1155.86]  so for them Allah SWT changed the scenery
[1155.86 -> 1163.14]  to show victory so in this you can say surah victory Allah SWT
[1163.14 -> 1166.98]  has mentioned and we should rethink about what is
[1166.98 -> 1171.54]  victory for us and the first thing that comes to mind
[1171.54 -> 1176.10]  is you should ask yourself that what is victory to me
[1176.10 -> 1181.14]  what does victory mean what does victory mean
[1181.14 -> 1185.22]  if you think victory what does it mean does it mean
[1185.22 -> 1189.46]  Muhammad what do you think victory means to you
[1189.46 -> 1196.10]  would you say establishing islam okay establishing islamic state or
[1196.10 -> 1203.38]  establishing something or become achieving something at the end people find victory for
[1203.38 -> 1214.50]  some people victory can be winning the lottery which is obviously not right some people victory
[1214.50 -> 1225.78]  is that their team have won the football league or they have been they have moved from like
[1225.78 -> 1233.78]  Luton, what happened? Luton have now moved to the Premiership, isn't it? So the town have become
[1233.78 -> 1242.50]  victorious in the Premier League, which has not happened in the history I don't think.
[1244.10 -> 1251.86]  That Luton are going to be in the Premier League. You're going to have Man United and Arsenal and
[1251.86 -> 1260.62]  all the you know the Premiership League coming to Luton to play in their stadium
[1260.62 -> 1271.42]  so now what happened the town has been honoured to be in the league of the
[1271.42 -> 1276.20]  Premier League yeah it's been honoured so it's become victorious so all the
[1276.20 -> 1281.18]  people you know you can say that I'm from Luton we're in the Premier League
[1281.18 -> 1290.82]  So, victory is different things for different people, but Allah s.w.t mentions even in the
[1290.82 -> 1301.50]  beginning of the surah and we'll come to this that verily that we have given you victory
[1301.50 -> 1308.10]  and they mention what is victory and victory when you are forgiven.
[1308.10 -> 1315.14]  Allah Azwajal forgives you that is the greatest victory we can have.
[1315.14 -> 1322.02]  Imagine it is more valuable than any gold any silver any money
[1322.02 -> 1327.46]  because this is this gold silver is only can be used in this life
[1327.46 -> 1334.74]  only in this one you go to the next world gold and silver is not
[1334.74 -> 1343.70]  recognize in the grave it is stones for them but your amals your deeds are recognized in dunya
[1344.50 -> 1353.46]  and in the grave and in akhirah this is what will give you victory is what happens to these amals
[1353.46 -> 1362.18]  what happens to these deeds you are carrying will it be changed from a rock what do i mean by a
[1362.18 -> 1371.38]  rock where there sins maybe my amaz are like coal it is rock it is worthless it is dust
[1373.38 -> 1380.42]  but soon as i ask forgiveness from allah it turns to pearls it turns to diamonds in the after
[1381.86 -> 1388.98]  this is what victory is that you are becoming rich in the sight of allah when you turn to him
[1388.98 -> 1402.38]  but those who change, who value stones, then the diamonds. Imagine someone who values a stone,
[1402.38 -> 1412.46]  so this stone is very price and it is of mud, it is of you know no value. So we are valuing stones
[1412.46 -> 1418.62]  rather than the diamonds which is Iman. And this is what is really happening in
[1418.62 -> 1425.62]  our life. So what the teachings of especially of Sayyidna Abdulaziz the
[1425.62 -> 1434.86]  Barahmullah who was a great saint from Morocco, a great awliya and they were
[1434.86 -> 1440.42]  also this month is attributed to them and they mentioned and gave guidance on
[1440.42 -> 1446.74]  this month and how you can become victorious how you can become victorious
[1446.74 -> 1457.66]  this is also the teachings of Sayyidina Sheikh Ahmed Abba and they taught and
[1457.66 -> 1463.06]  they are teaching this even now the purification that how you can become
[1463.06 -> 1468.98]  victorious in this life and the hereafter and like Allah SWT has
[1468.98 -> 1474.98]  mentioned that the successful people of those who purify
[1474.98 -> 1478.26]  they will become successful in the hereafter so
[1478.26 -> 1483.30]  how do you become successful how do you become victorious
[1483.30 -> 1487.06]  is when your body
[1487.38 -> 1492.34]  when your mind when your heart becomes to reflect
[1492.34 -> 1495.78]  the sunnah of the prophet sallallahu alaihi wa sallam
[1495.78 -> 1503.14]  you become victorious so like we said some people see victory as maybe
[1503.14 -> 1509.14]  being rich be having instead of one house having five houses i will become
[1509.14 -> 1512.74]  victorious victorious is when i achieve this when i
[1512.74 -> 1516.50]  open three shops when i have a chain but
[1516.50 -> 1521.06]  that's not victory it can lose it is only valued here
[1521.06 -> 1528.74]  a real victory is what's valued not just in dunya but in akhirah
[1528.74 -> 1533.22]  so to become victorious you need three things
[1533.22 -> 1537.70]  three things you need to become victorious
[1537.70 -> 1544.02]  number one is that loyalty
[1544.02 -> 1551.30]  becoming loyal with Allah. What does loyalty mean is that
[1551.30 -> 1559.14]  you have given allegiance to someone. In this country
[1559.14 -> 1565.30]  people give allegiance to the king. In countries they give allegiance to the
[1565.30 -> 1569.38]  king the queen that will they will abide by the laws
[1569.38 -> 1578.26]  of this land and if you don't sometimes your passport can be taken your citizenship like you
[1578.26 -> 1587.46]  hear in the news now and you can hear that someone's citizenship is being stripped because why
[1587.46 -> 1595.06]  because they're putting in danger the land they're putting in danger the people of the land like
[1595.06 -> 1602.58]  terrorism and etc they they can take the citizenship away which is very you know
[1602.58 -> 1609.22]  serious thing that you're endangering not only yourself but the people of the land who have not
[1609.22 -> 1620.58]  done anything now if i were to tell you that loyalty is great that every day you and me are
[1620.58 -> 1624.74]  are being tested with loyalty with Allah Azza wa Jalla.
[1624.74 -> 1628.90]  That are you going to follow the command of Allah,
[1628.90 -> 1632.70]  or are you following the command of the land,
[1632.70 -> 1634.62]  of the people, what they are saying,
[1634.62 -> 1638.22]  what my desires are saying, what my friend is saying,
[1638.22 -> 1641.66]  what bad people are saying, and you're following them?
[1641.66 -> 1643.06]  That is the question.
[1643.06 -> 1645.26]  Who do you follow?
[1645.26 -> 1647.06]  Who do you give your hand to?
[1647.98 -> 1650.42]  Are you giving it to the devil?
[1650.42 -> 1654.08]  or are you giving it to the command of Allah?
[1654.08 -> 1659.06]  Peace and tranquility to the people and to yourself.
[1659.06 -> 1660.14]  Who are you following?
[1660.14 -> 1661.86]  Who are you giving your hand to?
[1664.14 -> 1666.46]  So every day we are being tested.
[1666.46 -> 1669.30]  Our body is also like that.
[1671.46 -> 1674.14]  And this land we have control of.
[1674.14 -> 1679.14]  We may not have control of what happens in our community,
[1679.14 -> 1684.66]  what happens in our household but we are in charge of what happens in this body
[1685.54 -> 1692.74]  and who is in charge it is you the spirit and this land is like a community the tongue
[1693.70 -> 1703.78]  the hands the feet the eyes the ears the stomach the private area this all seven organs
[1703.78 -> 1711.22]  these are like the land which you have control over, this is like your community and if you're
[1711.22 -> 1719.10]  putting in danger this community you're bringing terrorism to your body by committing sins and
[1719.10 -> 1725.94]  disobedience and habits and you know going against the command of Allah but for example the tongue
[1725.94 -> 1734.26]  you begin to swear, you hurt people with your tongue, you swear, you backbite, you
[1734.26 -> 1740.22]  slander, it is as though causing terrorism or causing terror upon your
[1740.22 -> 1748.54]  land. What did we say about this? That is like treason and in this country
[1748.54 -> 1755.10]  the the the treason people are imprisoned for life
[1755.10 -> 1761.42]  and other countries they are killed but what to say the treason against
[1761.42 -> 1768.06]  Allah not the people of the land but Allah
[1768.14 -> 1772.70]  so really loyalty is one thing is that you should establish
[1772.70 -> 1776.38]  loyalty with Allah let your tongue becoming
[1776.38 -> 1783.58]  loyal in the sight of Allah, your eyes become loyal in the sight of Allah
[1783.58 -> 1787.98]  meaning that your eyes only follows the command of Allah that
[1787.98 -> 1792.14]  it does not wander towards sins where you're looking
[1792.14 -> 1796.86]  towards evil and pornography and evil and darkness
[1796.86 -> 1801.82]  you do not use the ears to do harm where you're listening to others
[1801.82 -> 1810.22]  conversations or music or anything against Qur'an and Sunnah. Your hands, you have been given hand
[1811.18 -> 1821.26]  but with the hand it is also authority as well. So if you have authority maybe in society or in
[1821.26 -> 1830.30]  your household do not abuse this authority with your hands. Do not steal, do not hurt someone.
[1830.30 -> 1837.66]  this is as though terror upon your land upon your world so the whole body the stomach the feet
[1837.66 -> 1846.86]  not going toward evil or taking people to evil so all of this body is being tested with loyalty
[1847.50 -> 1854.22]  the mind that where where does your thought go all the time is it always thinking about
[1854.22 -> 1861.54]  you can say sins is it always thinking about how can I you know fraud people
[1861.54 -> 1868.38]  how can I harm people how can I commit sins and entertaining that evil all the
[1868.38 -> 1875.14]  time or are you using the mind in the remembrance of Allah so now this is
[1875.14 -> 1882.98]  again a terror that a person is causing upon the body or he is causing goodness
[1882.98 -> 1890.82]  upon the body. So loyalty is also number one, having loyalty with Allah Azza Wajal.
[1890.82 -> 1901.22]  Number two, third thing is forgiveness. Now if you want to be forgiven in
[1901.22 -> 1908.78]  this life and the hereafter, then you should be able to forgive people. If you
[1908.78 -> 1915.94]  forgive Allah and if you forgive people for what they've done to you then Allah
[1915.94 -> 1922.22]  Azza wa Jal will forgive you. This is the rule really. If you want goodness in your
[1922.22 -> 1928.54]  life this is the secret of goodness. If you want goodness to come to you
[1928.54 -> 1933.74]  you should want goodness come to the people as well. And that's what is
[1933.74 -> 1941.66]  mentioned that that whatever goodness you want for yourself you should want for others. That is a
[1941.66 -> 1947.42]  perfection, that is perfect human being, that the Prophet As'ham mentioned. If you want to see a
[1947.42 -> 1955.50]  Muslim, a good, you can say a person of goodness, then whatever you want for yourself you should
[1955.50 -> 1964.94]  want for others. So forgiveness is a key in order for you to be forgiven. If you're holding grudges
[1964.94 -> 1970.30]  no I can't forgive this person he's done this to me he's done that to me he said this to me he
[1970.30 -> 1976.70]  did not come to my wedding or he did not come to my you know children's wedding he did not come
[1976.70 -> 1983.74]  to this he did not come to my gathering that I had or he didn't come to this or that function
[1983.74 -> 1989.46]  and you hold a grudge then really how can Allah forgive you as well if you
[1989.46 -> 1995.50]  hold in a grudge you should forgive this person and Allah will forgive you as
[1995.50 -> 2004.10]  well and that is really and it talks about what I mean about loyalty is that
[2004.10 -> 2013.18]  imagine what loyalty every day we are tested when you go out this mosque you
[2013.18 -> 2019.72]  will be tested. The first person that comes towards you is a woman. You will be
[2019.72 -> 2025.34]  tested with your eyes that who are you loyal with? Are you loyal with Allah Azza
[2025.34 -> 2032.78]  Wajal or will you be using and abusing this body? Yes the first glance you are
[2032.78 -> 2039.50]  not committing sin but when you glance again and again and you try to picture
[2039.50 -> 2045.50]  that person and in your mind and then later on we capture this then really
[2045.50 -> 2052.08]  you're abusing the body and people said the other day is like the huge thing in
[2052.08 -> 2058.16]  the internet about one of the presenters in the morning show and they're talking
[2058.16 -> 2067.76]  about whether he is grooming people or he has done wrong etc now whatever he
[2067.76 -> 2077.16]  has done he has done but it started with something it started with a spark sins
[2077.16 -> 2083.40]  or habits it starts with a spark it starts with doing things again and again
[2083.40 -> 2091.76]  and again so for example those who smoke it starts with having a puff those who
[2091.76 -> 2097.64]  start have drugs it starts by taking drugs first though your friends got you
[2097.64 -> 2105.32]  take one just see how it tastes see how it feels then you take it once you take it then you see
[2105.32 -> 2110.52]  the friend again and you're with the same friend then they say take it again then you again you
[2110.52 -> 2117.00]  are with that person they say do it again so now it begins a habit that you have not let go of that
[2117.00 -> 2125.88]  company so now they are giving you the drugs and you start to like it so likewise if you want to
[2125.88 -> 2135.00]  this self take away this evil you have to uninstall this sin uninstall like you have a
[2136.36 -> 2143.88]  computer you have to install an app you have a phone you have to up install an app or
[2143.88 -> 2150.36]  download an app or you remove the app so you download something you want
[2150.36 -> 2159.24]  but likewise in order to download you have to do something again and again like you see
[2159.24 -> 2169.24]  it says loading it will only load if it if it has a momentum if it goes round and these
[2169.24 -> 2177.48]  round things it means steps you have to take the step that's when the the loading sign
[2177.48 -> 2183.72]  begin and each bar begins to click. So that means that if you want to leave
[2183.72 -> 2189.60]  your habits, you have to monitor yourself. You have to say I'm going to stop doing
[2189.60 -> 2197.84]  this and I'm going to, for example, we have a purification path that we teach
[2197.84 -> 2203.40]  people. How do you take away your habits? How do you take away and overcome your
[2203.40 -> 2209.20]  habit and how do you plant goodness we have a course of purification and in
[2209.20 -> 2214.12]  that path is talks about how you uninstall and there's a full system
[2214.12 -> 2217.92]  which I will show you if you're interested that you have to monitor
[2217.92 -> 2223.80]  yourself for 30 days and then once you have done this repetitively again and
[2223.80 -> 2228.84]  again and again then you begin your body becomes used to it but if you want to
[2228.84 -> 2233.80]  play football and learn a skill you have to practice again and again and again
[2233.80 -> 2239.40]  and again and you learn. If you don't practice it won't come just seeing
[2239.40 -> 2245.28]  someone play football seeing someone you know swim you will never swim you will
[2245.28 -> 2251.36]  never learn that skill you have to practice again and again and again and
[2251.36 -> 2257.96]  that's how you install likewise to this take I mean you can say take that
[2257.96 -> 2264.44]  sin away you have to also leave that company again and again and then not to
[2264.44 -> 2273.00]  see that friend stop doing this again and it will slowly uninstall as well
[2273.00 -> 2278.48]  but that is to do with loyalty so that's the first thing if you want to become
[2278.48 -> 2286.76]  successful become loyal like you are loyal with you know a team that you play
[2286.76 -> 2293.32]  and you score against the opposition. You don't see, usually you don't see that the player then
[2293.32 -> 2301.24]  takes the ball and he scores on his own. That is disloyal. A loyal is the one who do everything
[2301.80 -> 2308.76]  and then score at the end. Number two is we mentioned about forgiving people if you want to
[2308.76 -> 2321.00]  be forgiven and thirdly is resilience resilience means what is that you never stop even though it's
[2321.00 -> 2329.32]  hard even though you have all the attractions of dunya you never stop like in this life you
[2329.32 -> 2335.08]  always have attraction as soon as you step out of the mosque you have attraction even in the mosque
[2335.08 -> 2343.08]  you have attraction. Why? You have the phone. I've seen people in Terafi, they are praying and
[2343.08 -> 2350.28]  people in the back watching TikTok and watching social media. So even in the mosque you are tested
[2350.28 -> 2358.04]  with loyalty. Even in the Kaaba you are tested with loyalty. When people are doing Tawaf it is mixed.
[2358.04 -> 2367.36]  women are there as well, men are there as well and Allah SWT is testing you and me that are you
[2367.36 -> 2375.22]  going to be loyal with me in the house of Allah. Imagine in the house of Allah if Allah SWT wanted
[2375.22 -> 2384.76]  He could have done separate that this time from Fajr to Asr there will be you know women and then
[2384.76 -> 2393.56]  from Asr to Isha or you know will be you know men can do the Tawaf. No it's mixed. Why? Because
[2393.56 -> 2402.44]  Allah is testing us in our loyalty, forgiveness and resilience that will you carry on no matter if
[2403.16 -> 2411.56]  the whole world comes to you it doesn't matter you still carry on. One of the things of this path
[2411.56 -> 2421.80]  they say the great opening and those who know and know about the path towards allah there is a period
[2421.80 -> 2429.56]  where some only are the some of the companions some of you know they you can say the veils are
[2429.56 -> 2437.72]  removed where they see angels they can see angels they can see the arch of allah even living in this
[2437.72 -> 2446.12]  life they can see the blessings of Allah they can see everything has opened for them and they say
[2446.12 -> 2453.64]  this is where the whole unveiling of the unseen is removed like the curtain we can't see through
[2454.20 -> 2461.40]  this window but as soon as the window is clear we can see there's a whole vast
[2461.40 -> 2467.94]  world out there and this is sometimes unveiling of the unseen is removed for
[2467.94 -> 2474.94]  the Odia and they say Fatiqabid. Sayyid Abdelaziz mentioned that the
[2474.94 -> 2482.58]  greatest fat is not when the world is removed but they mentioned that the
[2482.58 -> 2495.54]  greatest fact is when the whole of the unseen world to you is when the whole of the unseen
[2495.54 -> 2503.38]  world is open to you but when it is open when your eyes are open when your eyes are open
[2503.38 -> 2509.70]  and you see your faults and your deficiency, this is the great
[2509.70 -> 2517.30]  for you. This is the greatest when you see yourself that you know what? I
[2517.30 -> 2523.58]  haven't fault. You know what? I am going wrong there. That is the greatest opening
[2523.58 -> 2529.66]  for you. Because through this opening when you realize that I have evil in
[2529.66 -> 2533.98]  myself and then you do something about it
[2533.98 -> 2537.58]  then you achieve the pleasure of allah
[2537.58 -> 2541.50]  just seeing angels will not grant you paradise
[2541.50 -> 2547.98]  just seeing stars and the arsh and the unseen world that people want to see
[2547.98 -> 2552.06]  and the jinnah and having control and etc of the jinnah
[2552.06 -> 2555.58]  this will not gain gain you closeness to allah
[2555.58 -> 2558.62]  but the closeness that you will gain from allah
[2558.62 -> 2566.70]  is when you see that you have a sin you have a fault you have a habit that needs removing
[2567.50 -> 2575.42]  it's like for example those who have alcohol problem they go to the alcohol awareness and
[2575.42 -> 2580.78]  they have to go through a course they have a drug issue they have to go on a course
[2582.38 -> 2586.46]  in order for them to go on the course that's when they will benefit
[2586.46 -> 2591.26]  they will not benefit if they don't think they have a problem they will just
[2591.26 -> 2596.00]  ruin and they so I don't have a problem then they go to prison and then they go
[2596.00 -> 2602.88]  again to take drugs so likewise in order for you to be under the course and you
[2602.88 -> 2608.60]  know you can say training you have to realize that I have a problem you have
[2608.60 -> 2614.44]  to realize that you know what I need help that's when the help will come
[2614.44 -> 2620.44]  That's when the help will come to Allah, Fadl will come to you.
[2620.44 -> 2627.44]  If you think I don't have a problem, I'll just do prayers and then he will get removed,
[2627.44 -> 2636.44]  or I will do this or I will do that, but removing will not happen until you admit it.
[2636.44 -> 2640.44]  What happened to Shaitaan? What happened to him?
[2640.44 -> 2646.32]  to him. When Allah said to him to frustrate towards Adam, what did he do? I don't have
[2646.32 -> 2655.92]  any faults. I am better than everyone. I am better than Adam. I am made of fire. I'm not
[2655.92 -> 2663.00]  going to frustrate to him. What did he do? He did not admit. He did not submit. He did
[2663.00 -> 2670.24]  not admit or submit to the Widow of Allah, there's no loyalty there.
[2670.24 -> 2680.44]  He did not submit to Allah. So what happened is that he did not, you can say he did not
[2680.44 -> 2687.72]  follow, he did not become loyal when Allah said submit. But instead what
[2687.72 -> 2695.50]  happen he said he was better he said he was better than himself but he had a
[2695.50 -> 2702.60]  fault he did not go to Allah you know I feel like this what should I do and this
[2702.60 -> 2708.60]  is what Adam did when he made you can say when he ate from the
[2708.60 -> 2717.08]  forbidden fruit and he did not it wasn't a sin it was due to forgetfulness what
[2717.08 -> 2721.76]  did he do? he admitted to Allah I have done wrong even though he did not really
[2721.76 -> 2730.28]  done anything he forgot imagine when we forget there's no sin when we are
[2730.28 -> 2737.44]  fasting and we forget and we eat your fast is still accepted because that
[2737.44 -> 2743.00]  food is from Allah Azza wa Jalla when you are sleeping even when you are sleeping
[2743.00 -> 2752.68]  and you are overwhelmed with sleep and you miss fujif. You should get up and
[2752.68 -> 2757.52]  just pray fujif. You don't become accountable as such because of
[2757.52 -> 2763.60]  overwhelm because there's no consciousness there. But soon that's when
[2763.60 -> 2768.64]  you become accountable. What will you do? What do people do? Get out their phones
[2768.64 -> 2773.12]  and check out what's up, they do this, they do that, they check social media.
[2775.04 -> 2781.12]  Loyalty then, the loyalty will be tested. Are you going to come to me? Allah will say. Are you
[2781.12 -> 2786.64]  going to pray? Soon as you open your eyes, you become conscious. What are you going to do?
[2787.84 -> 2795.04]  So then you will submit towards Allah. So really these three things, loyalty
[2795.04 -> 2803.52]  is a key. Every day we are tested on loyalty. Number two is forgiveness, asking
[2803.52 -> 2808.12]  forgiveness from Allah and this is what Hadhrat Adam did is that loyalty
[2808.12 -> 2813.00]  came, he was loyal as soon as he submitted to Allah. He asked forgiveness from
[2813.00 -> 2820.24]  Allah. And then resilience, meaning that he was willing to accept whatever
[2820.24 -> 2827.04]  Allah has bestowed on him. What did he do? What Allah did? He sent him in this earth
[2827.60 -> 2836.72]  and he was searching and searching and searching until he was as though Allah accepted his dua.
[2838.32 -> 2845.60]  Until he accepted his dua. So really again I'll mention that this month is the month
[2845.60 -> 2857.84]  of the month where this surah was revealed is of victory so if you want
[2857.84 -> 2865.48]  victory in your life if you want victory in your life then establish victory with
[2865.48 -> 2872.96]  establishing the loyalty with Allah if you want victory then forgive people it's
[2872.96 -> 2880.52]  easier to forgive than anything else. It's easy to just forgive them. It's hard
[2880.52 -> 2889.12]  it's hard but that's the easiest thing. Just let go. Let go for your sake. Maybe
[2889.12 -> 2894.32]  okay there but when you forgive someone you see there will be some happiness in
[2894.32 -> 2901.48]  them. Number two is, number three is resilience. Irresilience. And they say
[2901.48 -> 2907.24]  that recovering quickly in a short space of time, that's resilience. Even if you
[2907.24 -> 2912.98]  make a mistake, it's not the end of the world. Even if you commit in sins and
[2912.98 -> 2919.92]  sins and sins is not the end of the world. Resilience in the prayer of Allah SWT,
[2919.92 -> 2926.78]  become hopeful in the mercy of Allah. Don't become hopeless. And really they
[2926.78 -> 2935.90]  said withstanding against everything that comes to you even if the whole world begins to go against
[2935.90 -> 2943.34]  you. And this is what Imam Hussain Radul Abduh, everyone was against him but he stood alone
[2944.54 -> 2951.10]  and he had really he wasn't alone he had Allah Azza wa Jalla, he had his family but really the
[2951.10 -> 2956.50]  The whole world came, but he was still successful in the sight of Allah.
[2956.50 -> 2963.70]  So may Allah enable us to learn from these blessed teachings of Sayyid Abdelaziz,
[2963.70 -> 2968.60]  the barahmullah and of Sheikh, that we learn,
[2968.60 -> 2973.60]  and this inshallah absorbs in our hearts and mind
[2973.60 -> 2980.00]  and establish the victory in this life before the hereafter.
[2980.00 -> 2983.84]  So we just make dua and conclude inshallah and then do dhikr.
[2983.84 -> 2986.32]  Wallah, you're the most merciful, the most kind.
[2986.32 -> 2989.52]  Enable us to have victory over ourselves,
[2989.52 -> 2994.36]  victory over my nafs, victory over all the pleasures
[2994.36 -> 2995.44]  of this world.
[2995.44 -> 2997.84]  Make us victorious in your sight,
[2997.84 -> 3000.04]  victorious in the sight of the Prophet Sallallahu Alaihi Wasallam,
[3000.04 -> 3004.00]  victorious in the sight of dunya and in akhira
[3004.00 -> 3005.64]  and in the grave, wallah.
[3005.64 -> 3009.76]  Wallah, true victory is when you forgive us, wallah.
[3009.76 -> 3016.04]  true victory when we are forgiven and we have reached your kingdom Allah, that is victory.
[3016.04 -> 3022.40]  When we are seeing your blessed face, when we are in the presence of the Prophet s.a.w.
[3022.40 -> 3029.28]  we are in their arms, when we are in the bridge of Sirah that you will become, you will take
[3029.28 -> 3038.36]  us with one blink of an eye in your remembrance, in your pleasure Allah, enable us to become
[3038.36 -> 3046.12]  victory over all evil, all habits that we may have. You're the mercy for the most kind.
[3048.04 -> 3053.16]  Enable all these brothers and those who are listening on the internet and those who have
[3053.16 -> 3062.52]  come after, bless them with your blessing, with your fadl, with your
[3062.52 -> 3067.62]  peace and blessings or whatever hardship that they are going through in their
[3067.62 -> 3075.08]  lives. It might be financial, it might be it might be health, it might be wealth,
[3075.08 -> 3080.04]  whatever spiritual or physical, whatever hardship, might be relationship
[3080.04 -> 3084.76]  problems, may Allah enable them to become successful over them, give them the
[3084.76 -> 3091.80]  solutions to all the problems. We take refuge in you, may Allah enable us
[3091.80 -> 3097.56]  to become successful in this life and the Hirat and die with Iman and die with the Sunnah
[3097.56 -> 3108.80]  of the Prophet sallallahu alaihi wa sallam so inshallah we will do a short remembrance
[3108.80 -> 3114.88]  inshallah zikr where we will remember Allah azza wa jalla with a few words and inshallah
[3114.88 -> 3121.88]  you to follow and then we'll conclude for another 5-10 minutes in sha Allah, we'll join you on the phone.
