[0.00 -> 2.00]  3, 2, 1
[1019.30 -> 1023.10]  The reality is, is that we have to now introspect as well
[1023.10 -> 1026.70]  and say, are we free of these qualities?
[1026.70 -> 1029.62]  Because, yes, they're deplorable and we should,
[1029.62 -> 1032.86]  and we should condemn it.
[1032.86 -> 1036.74]  Also, at the same time, are we free of these qualities?
[1036.74 -> 1040.70]  Because the reality is, is that there are civil wars happening
[1040.70 -> 1048.78]  in our homes, between sibling brothers, between brothers, there is a civil war, between parents
[1048.78 -> 1056.38]  and their children, between couples, there's a civil war. Over what? Over money here, or land
[1056.38 -> 1066.30]  there, properties, yes, over even something pettier than that, which is we invited them,
[1066.30 -> 1071.74]  but they didn't invite us. We invited them and we made seven dishes and when they invited us,
[1071.74 -> 1078.86]  they only made four. There are families that are breaking down because of these petty disputes.
[1078.86 -> 1084.22]  So there are civil wars happening. There are also genocides perpetrated by Muslims
[1085.02 -> 1087.66]  against their own kind and against non-Muslims as well.
[1087.66 -> 1099.66]  And if we're going to talk about racism, then where do we start from this person is too dark to marry my daughter.
[1099.66 -> 1105.66]  This person is from is not from the right caste or from the right tribe or from the right village.
[1105.66 -> 1109.66]  This person is an Arab. This person is Asian.
[1109.66 -> 1112.66]  He doesn't know anything this and these sentiments.
[1112.66 -> 1115.66]  We've heard them all and there's no end to them.
[1115.66 -> 1117.74]  There's no end to them.
[1117.74 -> 1122.70]  Where we will look at a person and judge them based on how they're dressed.
[1122.70 -> 1127.36]  Perhaps you see somebody wearing an amama, a turban like me, and then you make a judgment.
[1127.36 -> 1129.58]  You don't know who they are, I've never even spoken to them.
[1129.58 -> 1131.98]  You make a judgment of who this person is like.
[1131.98 -> 1138.26]  You see somebody wearing a kurta, for example, you make a judgment by just how they are dressed.
[1138.26 -> 1144.06]  You see somebody looking different to you within the boundary of Sharia though.
[1144.06 -> 1150.46]  They haven't left the boundaries of Sharia and you've made a judgment that they are inferior
[1150.46 -> 1152.62]  to you.
[1152.62 -> 1160.56]  And I'm talking about Muslims now because it's all well and good that we, as we said,
[1160.56 -> 1164.00]  we deplore, we condemn, we detest what we're seen.
[1164.00 -> 1169.86]  But if we do not deplore and condemn and detest what we do within our own homes, within our
[1169.86 -> 1175.42]  own communities then we should not be surprised when others do it as well we
[1175.42 -> 1180.62]  should not be aghast that another person will call you the P word or the N word
[1180.62 -> 1186.26]  or whatever but we have those we have our alternatives we have our versions be
[1186.26 -> 1193.02]  in Arabic be in Urdu be in in Bangla or Salati we all have those racist words
[1193.02 -> 1196.90]  which I can I can quote to you now but of course due to the sanctity of
[1196.90 -> 1201.20]  of a majlis like this, we don't salih with such words.
[1201.20 -> 1206.20]  And so have we considered that at the same time
[1206.52 -> 1210.74]  that we are of course appalled by the racist abuse
[1210.74 -> 1215.74]  that is being hurled at Muslims, black people,
[1215.74 -> 1220.32]  people of Far East Asian descent as we know.
[1221.34 -> 1225.76]  So really without clarity on our identity
[1225.76 -> 1228.44]  that we are Allah subhanahu wa ta'ala's khalifas,
[1228.44 -> 1230.80]  we're His representatives,
[1230.80 -> 1234.72]  then of course we will go astray.
[1234.72 -> 1237.56]  Of course we will attach value to other things.
[1237.56 -> 1238.66]  Allah has said,
[1238.66 -> 1240.60]  Inni ja'inun fil ardi khalifa
[1240.60 -> 1243.68]  I'm placing on earth a representative.
[1243.68 -> 1247.84]  And so what lessons can we take from this,
[1247.84 -> 1251.44]  this role that you and I should be playing
[1251.44 -> 1254.48]  that we are Allah subhanahu wa ta'ala's representatives,
[1254.48 -> 1258.60]  that the real value, as we've alluded to already before,
[1258.60 -> 1266.12]  the real value that Allah subhanahu wa ta'ala considers
[1266.12 -> 1271.24]  is not in your colour, not in your clothes, not in the car that you drive,
[1271.24 -> 1276.44]  not in the home that you own, not in the furniture that you have,
[1276.44 -> 1281.72]  or the job title, or even just an honorific that you have.
[1281.72 -> 1289.90]  The real value that Allah subhanahu wa ta'ala attaches is to his qualities which you reflect,
[1289.90 -> 1296.30]  his sifat jalla majduhu that Allah subhanahu wa ta'ala he has given us these sifat for
[1296.30 -> 1306.70]  us to reflect as his representatives, as the caretakers of earth, as the stewards of earth
[1306.70 -> 1311.30]  that when you are here, you are not, when we are here in this short life 60, 70 years
[1311.30 -> 1316.00]  however long it is, we're not here representing ourselves, we're actually here representing
[1316.00 -> 1317.54]  Allah subhanahu wa ta'ala.
[1317.54 -> 1321.22]  And so as a representative of Allah subhanahu wa ta'ala, I should be reflecting Allah jalla
[1321.22 -> 1327.18]  majduhu's qualities, I should be reflecting Allah subhanahu wa ta'ala's sifat, Allah is
[1327.18 -> 1333.42]  generous, I reflect generosity, Allah is as-salam, the source of peace, the giver of peace, I
[1333.42 -> 1336.66]  should be reflecting that as well.
[1336.66 -> 1341.82]  And this is what, and this is the cure actually to racism.
[1341.82 -> 1347.90]  This is the cure because the sifat of Allah subhanahu wa ta'ala, the qualities of Allah
[1347.90 -> 1356.82]  are all virtuous and virtue is inherently colorblind, meaning that regardless of your
[1356.82 -> 1365.50]  race, regardless of your nationality, regardless of your gender, every individual recognizes
[1365.50 -> 1374.54]  these as virtues. Every individual recognises these as lofty qualities if you reflect the
[1374.54 -> 1381.82]  sifat of Allah SWT. So where does racism come from? As we've already mentioned, racism comes
[1381.82 -> 1390.82]  from you attributing value to qualities which are not the sifat of Allah, the colour of
[1390.82 -> 1397.70]  your skin. That's not a quality of Allah subhanahu wa'ta'ala. So when you attribute, when you give
[1397.70 -> 1404.10]  value to something which is not a quality of Allah, not a sifah of Allah, that is where racism arises.
[1405.46 -> 1411.06]  That you believe because of where you were born, for example, where you were born, you played no
[1411.06 -> 1418.26]  part in that. That is not an inherent virtue. There is no value attached to it. That you have
[1418.26 -> 1426.82]  this nationality, there's no value attached to that. Maybe it is, maybe it has some bearing
[1426.82 -> 1435.70]  in terms of the currency of trade. This nationality can travel or the currency of travel or you know
[1435.70 -> 1440.50]  that this nationality can travel to these countries without a visa for example. Okay,
[1440.50 -> 1450.02]  all right but there's no inherent value to it and so that's what shaytan did shaytan
[1450.82 -> 1457.78]  attributed value to fire to what he is made of but not to the qualities of allahu subhanahu
[1457.78 -> 1469.22]  ta'ala and so that resulted in his racism so what then repels racism
[1469.22 -> 1475.70]  what repels discrimination. We opened with the verses from surat Fussilat which Allah
[1475.70 -> 1492.16]  subhanahu wa ta'ala, he said, where Allah jalla majduhu, he said, that the good deed
[1492.16 -> 1498.26]  and the evil deed are not equal. The good deed and the evil deed are not equal.
[1498.26 -> 1507.86]  إدفع بالتي هي أحسن. Repel evil with the good deed. Repel evil with the good deed.
[1507.86 -> 1516.28]  So what does that mean? That you repel evil with the good deed. That you reflect the qualities
[1516.28 -> 1525.30]  of Allah subhanahu wa ta'ala in how you repel evil. In how you repel evil. Maybe that sounds
[1525.30 -> 1530.22]  abstract and so it's much easier for us to then look at the Sunnah of the Rasul
[1530.22 -> 1534.06]  sallallahu alayhi wa sallam. How did the Rasul sallallahu alayhi wa sallam
[1534.06 -> 1541.76]  repel evil? He sallallahu alayhi wa sallam, he repelled evil with the good
[1541.76 -> 1547.46]  deed meaning that the person who wronged him he would forgive him.
[1547.46 -> 1552.86]  All of this is caveated of course and it's you know it's not
[1552.86 -> 1558.12]  unconditional and so the Rasul sallallahu alayhi wa sallam if the
[1558.12 -> 1562.64]  people hurled verbal abuse at him sallallahu alayhi wa sallam he would never
[1562.64 -> 1568.48]  abuse them back he would never verbally abuse them in fact he said to the
[1568.48 -> 1576.08]  companions what do you think of the person who insults his father so they
[1576.08 -> 1583.60]  said, Ya Rasulallah, who insults their own father? He said, a man, a man's own father
[1583.60 -> 1593.40]  is insulted, sorry, a man insults another person's father and so the other then responds
[1593.40 -> 1600.20]  with an insult, insults his father. So he resulted in the insult of his own father.
[1600.20 -> 1607.84]  And similarly, or along the same vein, the Rasul, Allah jalla majduhu, he said wa la
[1607.84 -> 1614.14]  tasubu allatheena yadu'una min duuni Allahi aaduwan fayasubu allaha bi ghayri'in.
[1614.14 -> 1623.40]  Then don't insult those, don't insult those who call unto other than Allah.
[1623.40 -> 1628.66]  Don't insult people who call idols.
[1628.66 -> 1633.14]  insult their idols why because what's the consequence of that you say brother
[1633.14 -> 1638.62]  that's the haqq that's the truth this idol is nothing okay but if you said
[1638.62 -> 1642.94]  that to them what do you think they will say then they will insult Allah
[1642.94 -> 1652.66]  then they will insult Allah yes out of aggression and ignorance
[1652.66 -> 1660.38]  that they will violate you cause that violation you cause that violation and
[1660.38 -> 1670.82]  so Allah says there is evil repel evil with good and so we have a living we
[1670.82 -> 1677.02]  have an example today of the Imam who came out of the mosque came out of his
[1677.02 -> 1685.74]  mosque to to greet in fact some of the of course it was safe enough for him to do that and we're
[1685.74 -> 1692.14]  not suggesting that you go into you you go into a mob with you know with a with a fistful of
[1692.14 -> 1697.82]  flowers you know no of course not you know it was safe enough for him to do that he went out with
[1697.82 -> 1706.94]  burgers he went out and he listened to them and this is the virtue led dawah that we are commanded
[1706.94 -> 1715.50]  to practice. That is what idhafa' billatihi aahsan means, that repel evil with goodness.
[1715.50 -> 1720.94]  Now he went out and he listened to them. What are your concerns? What are your worries?
[1721.58 -> 1729.18]  Yes? And gave them food. And this is a prophetic quality. And that is why it ended with them hugging
[1729.18 -> 1733.90]  each other and the protesters went home. And insha'Allah that mosque and surrounding mosques
[1733.90 -> 1742.50]  insha'Allah, are protected, are safe, and those protesters will now have a good impression
[1742.50 -> 1745.86]  of Islam, the right impression of Islam and Muslims.
[1745.86 -> 1749.56]  Because they're not going to read our books, they're not going to read hadith, they're
[1749.56 -> 1753.56]  not going to read the Akhlaq of the Rasul ﷺ, they're reading you.
[1753.56 -> 1755.08]  What are you doing?
[1755.08 -> 1761.04]  Are you obeying the command of Allah of repelling evil with good?
[1761.04 -> 1771.84]  So unless you have something to offer, then of what good are you to people?
[1771.84 -> 1775.16]  Of what benefit are you to people?
[1775.16 -> 1781.24]  So real Da'wah is to call people through the qualities of Allah SWT.
[1781.24 -> 1789.16]  And Allah Jalla Majduhu in the opening of verse 34, surat Fussilat, chapter 41, He said
[1789.16 -> 1798.76]  ... that the sin and the good deed, or the good deed and the sin, they're not equal.
[1798.76 -> 1800.68]  What is Allah referring to over here?
[1800.68 -> 1806.64]  That there are universal values that everybody recognizes.
[1806.64 -> 1813.52]  if what is presented to because what is Islam? Islam is you could say a set of
[1813.52 -> 1820.48]  values. 90% of them you could say are universal. The last 10%
[1820.48 -> 1828.00]  is what concerns salvation. So belief, disbelief and the consequences of that.
[1828.00 -> 1834.24]  But the 90% before that these are universal values. So Allah Jalla Majduhu
[1834.24 -> 1842.72]  is referring to these universal values that everybody knows that the good deed and the bad
[1842.72 -> 1848.32]  deed they're not equal and everybody recognizes that and everybody knows the difference between
[1848.32 -> 1855.60]  them so really this is the common ground that people should come to these are the these are
[1855.60 -> 1862.40]  other values the common values that unite not just neighbors but unite nations and so
[1864.80 -> 1869.36]  how is this expressed or how is this reflected in the Seerah of the Rasul sallallahu alaihi wasallam
[1870.16 -> 1876.64]  so for example the Rasul sallallahu alaihi wasallam he reflected this he reflected how
[1876.64 -> 1883.36]  good values virtues these universal values they can unite people so for example in returning the
[1883.36 -> 1890.08]  black stone into the Ka'bah after the Ka'bah was rebuilt. This is pre-prophethood, pre-announcement
[1890.08 -> 1895.92]  of prophethood of course, may I add. The Rasul Sallallahu Alaihi Wasallam, he reflected the
[1895.92 -> 1906.72]  quality of unity, unifying people, yes, of equality, that he was fair, he was just,
[1906.72 -> 1914.00]  that leader of every tribe carries carries the cloth carries the robe in
[1914.00 -> 1920.84]  which the black stone is carried why so everyone shares in the in the honor so
[1920.84 -> 1927.96]  equality fairness justice yes that in the hijra the Rasul sallallahu alaihi
[1927.96 -> 1934.24]  salam migrated and who did he leave behind to deputize him in his absence
[1934.24 -> 1941.80]  Sayyiduna Ali radiallahu ta'ala anhu. And what was he deputized to do? He was deputized to return
[1941.80 -> 1949.12]  the trusts of the people of Quraysh. The money, the properties that they had entrusted the Rasul
[1949.12 -> 1955.48]  sallallahu alayhi wasallam with. Why? Because their disagreement with him was on his deen.
[1955.48 -> 1963.92]  That the if you like they had an issue with the message. But what they didn't have an issue with
[1963.92 -> 1967.64]  It was the character of the Rasul Sallallahu Alaihi Wasallam, they didn't have an issue
[1967.64 -> 1975.34]  with him because they knew he was a Sadiq Al-Ameen, he is the honest and he is the trustworthy,
[1975.34 -> 1984.46]  he never lies and he never betrays the trust, he never breaks a promise and so even though
[1984.46 -> 1989.46]  they did not believe in the message of the Rasul Sallallahu Alaihi Wasallam, they trusted
[1989.46 -> 1998.42]  him. And so, as we said, this is the virtue that we are supposed to be embodying and the embargo
[1998.42 -> 2007.86]  that was the embargo that was forced on Bani Hirshim, the Prophet's family and all of the
[2007.86 -> 2016.34]  Muslims in Mecca, which lasted for three years. It was a social and economic boycott. No one could do
[2016.34 -> 2021.30]  do trade with them, no one can do business with them, with the Muslims, anyone who is
[2021.30 -> 2026.30]  openly Muslim, and the Prophet sallallahu alaihi wa sallam's family who supported him,
[2026.30 -> 2033.54]  who did not betray him, who did not hand him over to the kuffar of Makkah.
[2033.54 -> 2039.18]  What did the Rasul sallallahu alaihi wa sallam, or what did, sorry, how was the embargo lifted?
[2039.18 -> 2043.78]  We said it was a social and economic, so economic, no business done with them, social, no one
[2043.78 -> 2048.86]  can marry from them, no one can marry into them, or they cannot marry into anyone else.
[2048.86 -> 2053.62]  And no one was allowed to sit with them or spend time with them or say hello, goodbye
[2053.62 -> 2055.34]  or anything.
[2055.34 -> 2061.64]  So completely ostracized, completely not just marginalized, but literally discriminated
[2061.64 -> 2067.12]  against and treated as second class citizens.
[2067.12 -> 2070.14]  And so how was the embargo lifted?
[2070.14 -> 2073.30]  Of course, there's the divine intervention.
[2073.30 -> 2080.30]  the divine intervention, and the means as well.
[2080.30 -> 2087.30]  But what was the cause behind these, or what was it you could say, one of the reasons why
[2087.30 -> 2095.64]  these means functioned, that five non-Muslims at the time, five of the Mushrikeen, a couple
[2095.64 -> 2100.00]  of whom became Muslim afterwards, what happened?
[2100.00 -> 2102.00]  They sat together and they said, this is not fair.
[2102.00 -> 2103.08]  This isn't right.
[2103.08 -> 2113.32]  people that our own kith and kin are are oppressed like this are persecuted like this yes and they
[2114.52 -> 2124.28]  and they agreed on a plan they concocted a plan in order to lift the embargo and have it revoked
[2124.92 -> 2131.64]  have it repelled and so why because they looked at the rasul sallallahu alaihi wasallam's character
[2131.64 -> 2139.80]  He did not harm anyone, he did not abuse anyone, he did not cheat anyone and they
[2139.80 -> 2145.14]  could not fault his character and so how can we do this to our own
[2145.14 -> 2150.00]  people? Our own people who have done no harm to us, no evil has come from them,
[2150.00 -> 2155.76]  yes? So again is demonstrated in Naseera of the Rasul Sallallahu Alaihi Wasallam. Where else is
[2155.76 -> 2165.76]  Is this the reflecting the qualities of Allah subhanahu wa ta'ala and truly knowing your identity that you are a servant of Allah subhanahu wa ta'ala?
[2165.76 -> 2181.76]  How is that reflected in the Seerah as removing discrimination, removing racism, eliminating it when Abu Sufyan radiAllahu ta'ala anhu before he became Muslim
[2181.76 -> 2186.48]  And this was during the Treaty of Hudaibiyyah.
[2186.48 -> 2194.00]  So after the Treaty of Hudaibiyyah, Sulh al-Hudaibiyyah, they went for trade because Abu Sufyan,
[2194.00 -> 2200.64]  he used to lead all of the trade convoys for Mecca, for Quraysh.
[2200.64 -> 2210.24]  And so he went to the Roman territories, well, you know, to be accurate, the Byzantine territories,
[2210.24 -> 2217.76]  And the Caesar of Eastern Rome, of Byzantium, he heard that there were Arabs who were in
[2217.76 -> 2220.16]  town for trade, basically.
[2220.16 -> 2225.32]  And so he had heard that there was a prophet from the law or the prophet of the end of
[2225.32 -> 2230.58]  times who had announced, you know, that somebody had announced his prophethood.
[2230.58 -> 2231.58]  And he was a religious man.
[2231.58 -> 2232.90]  He was a knowledgeable man.
[2232.90 -> 2235.38]  He was an educated man in scripture.
[2235.38 -> 2244.38]  And so he summoned Abu Sufyan and his companions who were with him.
[2244.38 -> 2249.04]  Now bear in mind Abu Sufyan at the time is a mushrik.
[2249.04 -> 2254.30]  At that point in time he was a non-Muslim, a polytheist.
[2254.30 -> 2264.74]  And so the Caesar, the Qaisar, began to ask a series of questions about the Rasul sallallahu
[2264.74 -> 2268.84]  His Dawah, what does he call you to?
[2269.24 -> 2270.74]  What does Abu Sufyan respond?
[2271.14 -> 2275.24]  He calls us to the belief in Allah, in one God and to not
[2275.24 -> 2279.84]  associate partners with him and to maintain family ties and
[2279.84 -> 2287.24]  to not consume carrion, the dead meat and mentions a number
[2287.24 -> 2294.04]  of virtues, a number of values, universal values that no one
[2294.04 -> 2299.88]  can disagree with. No one can disagree. Maybe you disagree with belief in Allah, but can
[2299.88 -> 2305.16]  you disagree that you're not allowed to, can you disagree with the value of maintaining
[2305.16 -> 2313.46]  family ties, not consuming the wealth of the orphan, not committing highway robbery, fraud,
[2313.46 -> 2322.82]  for example, embezzlement. So these were universal values. Then he asked him about who follows
[2322.82 -> 2331.70]  him is it the rich is it the poor then asked him and have you fought him so he said yes we fought
[2331.70 -> 2338.42]  and what was the result he won one time you know he went you know they win some we win some that's
[2338.42 -> 2342.90]  along the lines you know that's what it translates to if we're speaking english you know he wins some
[2342.90 -> 2355.18]  we win some. And right now we're in a truce. So the Caesar asks Abu Sufyan, he asks Abu
